# vs,filterlength,max_surftimeconst,max_average_velocity_axis
1.200000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,2.548192208488393895e+00
1.600000000000000000e+01,2.000000000000000000e+00,8.163265306122448051e-01,3.461992440212932731e+00
4.000000000000000000e+00,5.000000000000000000e+00,1.306122448979591733e+00,9.348398398656335706e-01
4.000000000000000000e+00,6.000000000000000000e+00,8.163265306122448051e-01,8.925761836461557630e-01
1.200000000000000000e+01,6.000000000000000000e+00,6.530612244897958663e-01,2.551755838640219043e+00
1.600000000000000000e+01,7.000000000000000000e+00,9.795918367346938549e-01,3.409544767502192375e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.142857142857142794e+00,1.819018524288204430e+00
8.000000000000000000e+00,7.000000000000000000e+00,8.163265306122448051e-01,1.713760471732950430e+00
8.000000000000000000e+00,5.000000000000000000e+00,8.163265306122448051e-01,1.743104337588095909e+00
1.200000000000000000e+01,5.000000000000000000e+00,8.163265306122448051e-01,2.598321214626470699e+00
1.000000000000000000e+00,5.000000000000000000e+00,1.959183673469387710e+00,2.811076937057416236e-01
4.000000000000000000e+00,3.000000000000000000e+00,1.632653061224489610e+00,1.005000189333755234e+00
2.000000000000000000e+00,5.000000000000000000e+00,1.959183673469387710e+00,5.091912000581030329e-01
1.200000000000000000e+01,7.000000000000000000e+00,6.530612244897958663e-01,2.569582961624982342e+00
2.000000000000000000e+00,7.000000000000000000e+00,9.795918367346938549e-01,4.274137096016090154e-01
4.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,8.776072099448801733e-01
1.000000000000000000e+00,7.000000000000000000e+00,1.306122448979591733e+00,2.138528427351044925e-01
1.200000000000000000e+01,2.000000000000000000e+00,9.795918367346938549e-01,2.636845393792174974e+00
1.600000000000000000e+01,6.000000000000000000e+00,3.265306122448979331e-01,3.368747618963068291e+00
1.600000000000000000e+01,5.000000000000000000e+00,6.530612244897958663e-01,3.394358503004289762e+00
1.000000000000000000e+00,3.000000000000000000e+00,2.448979591836734304e+00,3.235582411323969509e-01
1.600000000000000000e+01,3.000000000000000000e+00,8.163265306122448051e-01,3.467036183587695053e+00
1.600000000000000000e+01,1.000000000000000000e+00,9.795918367346938549e-01,3.496778231949371651e+00
1.200000000000000000e+01,3.000000000000000000e+00,9.795918367346938549e-01,2.643623884011800040e+00
2.000000000000000000e+00,6.000000000000000000e+00,1.306122448979591733e+00,4.687309580189862324e-01
1.200000000000000000e+01,1.000000000000000000e+00,9.795918367346938549e-01,2.669709830295433850e+00
1.200000000000000000e+01,4.000000000000000000e+00,9.795918367346938549e-01,2.611905890434003119e+00
2.000000000000000000e+00,3.000000000000000000e+00,2.122448979591836427e+00,5.748593109333126616e-01
1.000000000000000000e+00,6.000000000000000000e+00,1.795918367346938549e+00,2.621270586465667685e-01
8.000000000000000000e+00,6.000000000000000000e+00,4.897959183673469274e-01,1.726207870820300361e+00
1.600000000000000000e+01,8.000000000000000000e+00,4.897959183673469274e-01,3.387794112210489317e+00
1.600000000000000000e+01,4.000000000000000000e+00,4.897959183673469274e-01,3.463843375119673329e+00
