# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,2.051680331262940360e+00,3.142438223865133273e-01
6.899999999999999467e-01,1.616414492753623477e+00,1.725722571646909620e-01
1.034999999999999920e+00,1.615262939958592270e+00,1.425480411668166303e-01
1.379999999999999893e+00,1.732693064182194487e+00,1.096165864204412671e-01
1.721999999999999975e+00,1.770019163763066228e+00,1.070639905639808459e-01
2.067000000000000171e+00,1.711286889211417250e+00,1.002492753357093896e-01
2.411999999999999922e+00,1.776365967780147104e+00,8.602653633952045409e-02
2.757000000000000117e+00,1.819786880149230512e+00,7.518012310122859643e-02
3.101999999999999869e+00,1.832810767246937589e+00,5.747177986068946476e-02
3.447000000000000064e+00,1.810257988312818700e+00,6.816595380939881321e-02
3.791999999999999815e+00,1.823235194394213554e+00,5.287184800949758928e-02
4.136999999999999567e+00,1.826153769121862336e+00,5.176489906737199997e-02
4.482000000000000206e+00,1.785840791738382061e+00,5.538576604158976235e-02
4.826999999999999957e+00,1.778558081032288740e+00,4.447676900741601158e-02
5.168999999999999595e+00,1.778973993311776303e+00,4.234523020084425549e-02
5.514000000000000234e+00,1.790410798486968158e+00,3.956063095587549622e-02
5.858999999999999986e+00,1.788411869407260824e+00,3.581391869796306249e-02
6.203999999999999737e+00,1.775343948604586775e+00,3.560450375645000248e-02
6.549000000000000377e+00,1.823984839561110904e+00,3.541857765027083688e-02
6.894000000000000128e+00,1.868103112437316193e+00,3.567499571301599448e-02
7.238999999999999879e+00,1.863734691058354542e+00,3.701146754455390819e-02
7.583999999999999631e+00,1.826295867239300819e+00,3.848309105695783827e-02
7.929000000000000270e+00,1.860661603877267867e+00,3.657150885390212519e-02
8.273999999999999133e+00,1.881066939466141674e+00,3.465291554708303107e-02
8.615999999999999659e+00,1.874801880222841222e+00,3.480187385544605827e-02
8.961000000000000298e+00,1.897135890445900364e+00,3.352869668632640215e-02
9.305999999999999162e+00,1.880326394645543742e+00,3.872912594939122849e-02
9.650999999999999801e+00,1.877211051408440579e+00,4.135754688043004335e-02
9.996000000000000441e+00,1.874162665066026578e+00,3.970519168236211899e-02
