# surftimeconst,average_velocity_axis_0_t_inf__params_12o0_8o0,average_velocity_axis_0_t_inf__params_12o0_2o0,average_velocity_axis_0_t_inf__params_12o0_1o0,average_velocity_axis_0_t_inf__params_16o0_1o0,average_velocity_axis_0_t_inf__params_12o0_4o0,average_velocity_axis_0_t_inf__params_16o0_4o0,average_velocity_axis_0_t_inf__params_16o0_8o0,average_velocity_axis_0_t_inf__params_16o0_2o0
0.000000000000000000e+00,8.227334095649718737e-01,7.322995543088217651e-01,9.175447701175594162e-01,1.061257971563250413e+00,8.636747461441542928e-01,1.074863278704608183e+00,1.125467492982367812e+00,1.102266020516705636e+00
1.224489795918367319e-01,8.405280435085394908e-01,7.634521054271640184e-01,9.204339931363642036e-01,1.087466829230239851e+00,8.711522120096850674e-01,1.097880831317378458e+00,1.143278796146265597e+00,1.106802054485112929e+00
2.448979591836734637e-01,8.563750408032917427e-01,7.921966672724819469e-01,9.230634704887462627e-01,1.111108011232904591e+00,8.781770624470615072e-01,1.118249232038200258e+00,1.159121124961138394e+00,1.111649584449651451e+00
3.673469387755101678e-01,8.703449646171018683e-01,8.186057251094218667e-01,9.254357303382674260e-01,1.132266395929570679e+00,8.847488496133196767e-01,1.136066804674965347e+00,1.173056203244448925e+00,1.116760115226717698e+00
4.897959183673469274e-01,8.825083781178425513e-01,8.427517642026305378e-01,9.275533008484895259e-01,1.151026861678564606e+00,8.908671256654958626e-01,1.151431873035566600e+00,1.185145754813658581e+00,1.122085151632707500e+00
6.122448979591836871e-01,8.929358444733864753e-01,8.647072698167546090e-01,9.294187101829746167e-01,1.167474286838211972e+00,8.965314427606263514e-01,1.164442760927895559e+00,1.195451503486230305e+00,1.127576198484016690e+00
7.346938775510203357e-01,9.016979268516065460e-01,8.845447272164406183e-01,9.310344865052846419e-01,1.181693549766839491e+00,9.017413530557473189e-01,1.175197792159844434e+00,1.204035173079625709e+00,1.133184760597040430e+00
8.571428571428570953e-01,9.088651884203755582e-01,9.023366216663354367e-01,9.324031579789816560e-01,1.193769528822773207e+00,9.064964087078948296e-01,1.183795290539305212e+00,1.210958487411307516e+00,1.138862342788175441e+00
9.795918367346938549e-01,9.145081923475665286e-01,9.181554384310854910e-01,9.335272527676274912e-01,1.203787102364338946e+00,9.107961618741055032e-01,1.190333579874170766e+00,1.216283170298737781e+00,1.144560449873817332e+00
1.102040816326530503e+00,9.186975018010521410e-01,9.320736627753373194e-01,9.344092990347842020e-01,1.211831148749863196e+00,9.146401647114152933e-01,1.194910983972332641e+00,1.220070945559378783e+00,1.150230586670361932e+00
