# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,1.023770621366279165e+00,1.887821655840377089e-01
6.899999999999999467e-01,1.077268070652174003e+00,1.752804323109693474e-01
1.034000000000000030e+00,1.088703064555125888e+00,1.635810188944215871e-01
1.379999999999999893e+00,1.091663066123188530e+00,1.636474010437003745e-01
1.723999999999999977e+00,1.102074463457076714e+00,1.688399788075692076e-01
2.068000000000000060e+00,1.110061910662475837e+00,1.645543963292066536e-01
2.414000000000000146e+00,1.116335348487986767e+00,1.683632375633455358e-01
2.758000000000000007e+00,1.118338254622915251e+00,1.709990859524138651e-01
3.101999999999999869e+00,1.134403459461637897e+00,1.721068543577956300e-01
3.447999999999999954e+00,1.152521108251160165e+00,1.727841297874634918e-01
3.791999999999999815e+00,1.159164161392405079e+00,1.691910407859648913e-01
4.137999999999999901e+00,1.163993233446109166e+00,1.662020183456563716e-01
4.482000000000000206e+00,1.168571145693886759e+00,1.623074041515799315e-01
4.825999999999999623e+00,1.165726112463738140e+00,1.577670362395509618e-01
5.171999999999999709e+00,1.168865683004640443e+00,1.537163860124140524e-01
5.516000000000000014e+00,1.175714495331762199e+00,1.500090334885591237e-01
5.860000000000000320e+00,1.183729692832764524e+00,1.474099914789609167e-01
6.206000000000000405e+00,1.190315541411537170e+00,1.430604660843949882e-01
6.549999999999999822e+00,1.196690620229007740e+00,1.380081855305169691e-01
6.895999999999999908e+00,1.201630850311774967e+00,1.319953204981832440e-01
7.240000000000000213e+00,1.202357639848066206e+00,1.282260179782516996e-01
7.583999999999999631e+00,1.203011990704113909e+00,1.247510326472489189e-01
7.929999999999999716e+00,1.203115699873896549e+00,1.210102646795896547e-01
8.273999999999999133e+00,1.199849653281363393e+00,1.187988547215494406e-01
8.618000000000000327e+00,1.196748342857971714e+00,1.160170397977125234e-01
8.964000000000000412e+00,1.191280622489959917e+00,1.117286789349100501e-01
9.307999999999999829e+00,1.188067465486678076e+00,1.081033390133515626e-01
9.653999999999999915e+00,1.185386368344727437e+00,1.050921478737657094e-01
9.997999999999999332e+00,1.183410941563312502e+00,1.028832652768375683e-01
