# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.159878985507246441e+00,1.894560202573490337e-01
6.899999999999999467e-01,1.046010054347826124e+00,1.739561185794126497e-01
1.034999999999999920e+00,1.048614432367149796e+00,1.220363875324201458e-01
1.379999999999999893e+00,1.048378804347826154e+00,1.063537335897767194e-01
1.721999999999999975e+00,1.096781540360046492e+00,8.565315071221969723e-02
2.067000000000000171e+00,1.093571298984034712e+00,8.406188784737450570e-02
2.411999999999999922e+00,1.002742485489220625e+00,7.523295111192615514e-02
2.757000000000000117e+00,9.725170248458470112e-01,6.785551659088435994e-02
3.101999999999999869e+00,9.482794568020631587e-01,5.768195511801911535e-02
3.447000000000000064e+00,9.485060015955903978e-01,6.034425330749378091e-02
3.791999999999999815e+00,9.424126780063291076e-01,5.084733912162458375e-02
4.136999999999999567e+00,9.268479423495287195e-01,3.623778337823387735e-02
4.482000000000000206e+00,9.292470297858099748e-01,4.065006782159503312e-02
4.826999999999999957e+00,9.629263258752849275e-01,3.769895368557463905e-02
5.168999999999999595e+00,9.575765984716579915e-01,2.871640475452476304e-02
5.514000000000000234e+00,9.624820683714181424e-01,2.680016696374086516e-02
5.858999999999999986e+00,9.819913381123057672e-01,2.538629669563911492e-02
6.203999999999999737e+00,9.857067113958737359e-01,2.483395049632224072e-02
6.549000000000000377e+00,9.761813063063061735e-01,2.483636367459881450e-02
6.894000000000000128e+00,9.549156875543951539e-01,3.421520891768783240e-02
7.238999999999999879e+00,9.469260170603674975e-01,4.317950113141145324e-02
7.583999999999999631e+00,9.340881213739451461e-01,4.492792883496651152e-02
7.929000000000000270e+00,9.439472348341531038e-01,5.060796903686375081e-02
8.273999999999999133e+00,9.575113306744018615e-01,5.132087268508246647e-02
8.615999999999999659e+00,9.412814458565459397e-01,5.750726765519392075e-02
8.961000000000000298e+00,9.591770868206672684e-01,4.360309987056967818e-02
9.305999999999999162e+00,9.742092937352246906e-01,3.771595632117465818e-02
9.650999999999999801e+00,9.789933232307532762e-01,3.957583989069431152e-02
9.996000000000000441e+00,9.991898634453780792e-01,3.569388585838996486e-02
