# time,average_velocity_axis_0_t_inf,95CLI,vs,filterlength,surftimeconst
9.997999999999999332e+00,6.819260030577544152e-01,8.481367436598093168e-02,1.200000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,7.039610815020146406e-01,9.526459965525724272e-02,1.200000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,1.076723551161845371e+00,1.202117786640824748e-01,1.600000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,8.300029702369045026e-01,8.638897496093249362e-02,1.200000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,1.212889355290413196e+00,1.151608667154165738e-01,1.600000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,1.080376946357013423e+00,1.055270985586385657e-01,1.600000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,1.163036794455665213e+00,1.164228415078706891e-01,1.600000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,8.692992812848284734e-01,8.508690118291124815e-02,1.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,1.194386312746420042e+00,1.091192135079381981e-01,1.600000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,8.362519200268625497e-01,9.975452435819127939e-02,1.200000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,8.740433425970908221e-01,8.809701350546571275e-02,1.200000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,1.077294387909840223e+00,1.226802700249294692e-01,1.600000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,8.939051667476353158e-01,7.978758727347562418e-02,1.200000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,8.438882169291002100e-01,9.565176182426775309e-02,1.200000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,1.208850589472733272e+00,9.530496492645383622e-02,1.600000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,1.184922081190431298e+00,1.117970820990385056e-01,1.600000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,9.212888970651273990e-01,7.923795953303235107e-02,1.200000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,8.446138852770553873e-01,8.887115387301425251e-02,1.200000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.000555193181493552e+00,9.061641742738597849e-02,1.200000000000000000e+01,7.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.200178664765211289e+00,1.044540410489022408e-01,1.600000000000000000e+01,7.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.286688569972058716e+00,1.139971368348068337e-01,1.600000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.207589069426788786e+00,1.063869335415055101e-01,1.600000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.223120759635798249e+00,1.320136312386340771e-01,1.600000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,9.080774940702427411e-01,7.388160619237849058e-02,1.200000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.188943579038388432e+00,8.784302695533206806e-02,1.600000000000000000e+01,7.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,1.161680136027205545e+00,1.142211602802968434e-01,1.600000000000000000e+01,6.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,8.690232207155716981e-01,9.712350250283466324e-02,1.200000000000000000e+01,6.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,1.175480521910833742e+00,1.011249129069911185e-01,1.600000000000000000e+01,3.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,1.194641189528228065e+00,9.586715482820695744e-02,1.600000000000000000e+01,5.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,9.006826454576629670e-01,8.527271347346933317e-02,1.200000000000000000e+01,5.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,9.861421105649702534e-01,8.376000511778053381e-02,1.200000000000000000e+01,3.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,8.547154359443318583e-01,8.212732706532489824e-02,1.200000000000000000e+01,7.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,1.015512766839082204e+00,9.503336927043595783e-02,1.200000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,9.480663329094392022e-01,8.416711585789768413e-02,1.200000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.159712539282049981e+00,1.448295350257002845e-01,1.600000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.129483925817421630e+00,1.184820937571766791e-01,1.600000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,8.998059397593805020e-01,8.149283697158020423e-02,1.200000000000000000e+01,7.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.138952196890991475e+00,1.094104885640241609e-01,1.600000000000000000e+01,7.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.184170598635856386e+00,1.077457525913381037e-01,1.600000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,9.439815588117623779e-01,8.745468649156244723e-02,1.200000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.114748130271215443e+00,1.102275556080950514e-01,1.600000000000000000e+01,5.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,9.332067306318406752e-01,7.829973045511370855e-02,1.200000000000000000e+01,6.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,8.292254593775899574e-01,8.633050324881076654e-02,1.200000000000000000e+01,5.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,8.982851945389077608e-01,7.981889514127334107e-02,1.200000000000000000e+01,7.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,1.060443059579658120e+00,1.008288931358119755e-01,1.600000000000000000e+01,6.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,9.982789879404452282e-01,7.958458999384172838e-02,1.200000000000000000e+01,3.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,1.160828581845401386e+00,1.238663131387884586e-01,1.600000000000000000e+01,7.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,1.149372832631042618e+00,1.096251769263804771e-01,1.600000000000000000e+01,3.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,8.785520621981539602e-01,8.661884777645573186e-02,1.200000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,8.535291218958077630e-01,7.933876892847474549e-02,1.200000000000000000e+01,7.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,1.126314433854512798e+00,1.222217093018400785e-01,1.600000000000000000e+01,7.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,1.077950309416721986e+00,1.168461584156814947e-01,1.600000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,1.128774277436132456e+00,9.514724565136965795e-02,1.600000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,8.396117348469694930e-01,7.423549344606293621e-02,1.200000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,9.695295672037633761e-01,1.167702144969633010e-01,1.600000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,8.754492076986827298e-01,8.036929917151731939e-02,1.200000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,1.076525559950699762e+00,9.559625649919151202e-02,1.600000000000000000e+01,3.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,9.469883492827597671e-01,1.010557827374281847e-01,1.600000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,9.345252925585116888e-01,8.144141007938270060e-02,1.200000000000000000e+01,3.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,9.654195193877486147e-01,1.204711875703497054e-01,1.600000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,7.836878822193009686e-01,8.734242775450279384e-02,1.200000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,7.876408656731346269e-01,8.786044473541358701e-02,1.200000000000000000e+01,7.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,8.947278348526849223e-01,8.446076262513962929e-02,1.200000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,1.023484361388406816e+00,1.280975698852397926e-01,1.600000000000000000e+01,7.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,9.684237718511444770e-01,9.762275183968112391e-02,1.600000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,9.893610980260568732e-01,1.137346752975115366e-01,1.600000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,7.901486475866601467e-01,8.446846079140536701e-02,1.200000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,8.434609889719877351e-01,1.276008763565686377e-01,1.600000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,7.740536178664305655e-01,8.104686580906840521e-02,1.200000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,7.442507358614580681e-01,9.301603665874634552e-02,1.200000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,8.097248931929242888e-01,8.032006696253052302e-02,1.200000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,8.856079764339965799e-01,1.116530321487487765e-01,1.600000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,6.453234557625810996e-01,9.280679181971039637e-02,1.200000000000000000e+01,7.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,9.634459214423531925e-01,9.188643719108156860e-02,1.600000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,7.304354138684879816e-01,8.725549970990341409e-02,1.200000000000000000e+01,5.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,8.169587328179922503e-01,1.085435520040043955e-01,1.200000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,7.863399228232742511e-01,1.272306188957774975e-01,1.600000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,6.853634601920385316e-01,9.752861649847090197e-02,1.200000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,7.803445301963618519e-01,1.325752396805242039e-01,1.600000000000000000e+01,7.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,8.297988533190508997e-01,9.245485621716775793e-02,1.600000000000000000e+01,5.000000000000000000e+00,6.000000000000000000e+00
