# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,8.365391922757474674e-01,1.718464785535104011e-01
6.899999999999999467e-01,8.647753623188406680e-01,1.650390461073479309e-01
1.034000000000000030e+00,8.645163028460901566e-01,1.569056056170522184e-01
1.379999999999999893e+00,8.725236154244306874e-01,1.497975705382777467e-01
1.723999999999999977e+00,8.750042156943985683e-01,1.407225373761247511e-01
2.068000000000000060e+00,8.797819321635811374e-01,1.342102384718800168e-01
2.414000000000000146e+00,8.861630814297548620e-01,1.289552635198603359e-01
2.758000000000000007e+00,8.913596615041955440e-01,1.245738203663347282e-01
3.101999999999999869e+00,8.935526906604034370e-01,1.202909927130056539e-01
3.447999999999999954e+00,9.012722178488564717e-01,1.170707483073450267e-01
3.791999999999999815e+00,9.037369367842076340e-01,1.147751389167106228e-01
4.137999999999999901e+00,9.039487588897328063e-01,1.130361948839666703e-01
4.482000000000000206e+00,9.055771857270350500e-01,1.108110703470652630e-01
4.825999999999999623e+00,9.025185675803683027e-01,1.085223805375601369e-01
5.171999999999999709e+00,9.027325053861451343e-01,1.063542787410359375e-01
5.516000000000000014e+00,9.052349334403811953e-01,1.047538213582927119e-01
5.860000000000000320e+00,9.077124634324719166e-01,1.035292898109708981e-01
6.206000000000000405e+00,9.074480571796877948e-01,1.021019718193536541e-01
6.549999999999999822e+00,9.084999754634678348e-01,1.010000479293863690e-01
6.895999999999999908e+00,9.105794534098442528e-01,9.895473790943062897e-02
7.240000000000000213e+00,9.138156619968429428e-01,9.738207741245563653e-02
7.583999999999999631e+00,9.203637168474985142e-01,9.605987436908947075e-02
7.929999999999999716e+00,9.254947937308592998e-01,9.519854484689156682e-02
8.273999999999999133e+00,9.307677319658829163e-01,9.392811344602196300e-02
8.618000000000000327e+00,9.349071047309617244e-01,9.217379375895480564e-02
8.964000000000000412e+00,9.394262546216610721e-01,9.031073366220772336e-02
9.307999999999999829e+00,9.422352872337160790e-01,8.841180106352855561e-02
9.653999999999999915e+00,9.459127859658469362e-01,8.580074239718143980e-02
9.997999999999999332e+00,9.480663329094392022e-01,8.416711585789768413e-02
