# time,average_velocity_axis_0_t_inf,95CLI,vs,delay,surftimeconst
9.996000000000000441e+00,3.623658396952530447e-01,5.491760612115621255e-03,1.000000000000000000e+00,0.0,3.000000000000000000e+00
9.996000000000000441e+00,3.464147172540891217e-01,5.342951292264513236e-03,1.000000000000000000e+00,2.500000000000000000e-01,3.000000000000000000e+00
9.996000000000000441e+00,3.329951638858668073e-01,5.555438057264658509e-03,1.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00
9.996000000000000441e+00,3.162606105918929766e-01,5.617464750920900078e-03,1.000000000000000000e+00,7.500000000000000000e-01,3.000000000000000000e+00
9.996000000000000441e+00,8.841845410039015363e-01,1.571040642887931715e-02,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.655894632853140980e+00,3.029338457251286310e-02,8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.939561360677083179e-01,5.675129599168954146e-03,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.312884908846351006e-01,5.945393339669648516e-03,1.000000000000000000e+00,1.500000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.826911448173019203e-01,6.031810237509240002e-03,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.176256394159226060e-01,6.152942864867846397e-03,1.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,8.106493300445177796e-02,5.813328739435985083e-03,1.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00
