# time,average_velocity_axis_0_t_inf,95CLI,vs,delay,surftimeconst
9.996000000000000441e+00,5.424942101840736219e-01,2.062686518002980821e-02,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.270824167166866747e+00,2.859845539348668253e-02,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.183666755764805900e-01,6.308671161419591306e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.655894632853140980e+00,3.029338457251286310e-02,8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.391006275557097660e-01,6.105769157764760931e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,8.444745163690474676e-01,1.954764661900977238e-02,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,8.841845410039015363e-01,1.571040642887931715e-02,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.850863343384228421e-01,5.668902564988495194e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.569992684573829456e+00,3.292679424791864623e-02,8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.939561360677083179e-01,5.675129599168954146e-03,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.323841511604641807e+00,2.190618859056283826e-02,8.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,8.192836056297518876e-01,1.554798676831565217e-02,4.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.157101121698679513e+00,2.456142211384084589e-02,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.890904616729504384e-01,5.309062577043257604e-03,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,7.704403198779511408e-01,1.878550358819748925e-02,4.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,7.011690613745498180e-01,1.868564058928164767e-02,4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.740137642947804153e-01,5.752707454110940824e-03,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,9.921432698079231116e-01,4.024103631833423483e-02,8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,6.593818980717287559e-01,1.921568782481732768e-02,4.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,2.523859550656200046e-01,5.537349970631696115e-03,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,8.748202718587434479e-01,3.643786376788719916e-02,8.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,2.280105498253988949e-01,5.603141291644874768e-03,1.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,7.589142469487795140e-01,5.087185419586007229e-02,8.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,5.752385626125449125e-01,1.933582037947737323e-02,4.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,4.953463182147859190e-01,2.205138981528515646e-02,4.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,7.210140931372548412e-01,4.633938022965137377e-02,8.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,2.025304944243322414e-01,5.507947068487352958e-03,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00
