# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,5.008043931159420481e-01,6.042960423088700878e-02
6.899999999999999467e-01,6.277369791666667087e-01,5.005808445922240585e-02
1.034999999999999920e+00,6.745003623188405850e-01,4.099074695953087294e-02
1.379999999999999893e+00,7.204682178442030072e-01,3.076575305107142819e-02
1.721999999999999975e+00,7.540227206736354049e-01,2.918604877009724555e-02
2.067000000000000171e+00,7.625352790880501885e-01,3.188816000465490019e-02
2.411999999999999922e+00,7.727981835613598749e-01,3.197782457453197946e-02
2.757000000000000117e+00,7.919863755894087642e-01,2.952691053586379427e-02
3.101999999999999869e+00,7.959664732430690171e-01,2.618524244729838329e-02
3.447000000000000064e+00,7.980397809689585564e-01,2.469011959042228047e-02
3.791999999999999815e+00,8.011290957937764468e-01,2.270415229415484459e-02
4.136999999999999567e+00,8.003758082547740571e-01,2.231443091379080312e-02
4.482000000000000206e+00,7.997868383255242186e-01,2.198155402150855919e-02
4.826999999999999957e+00,7.970476842500517911e-01,2.222767770629326123e-02
5.168999999999999595e+00,7.973147761897853014e-01,2.166137652975658537e-02
5.514000000000000234e+00,7.952385745375407655e-01,2.086383573905816607e-02
5.858999999999999986e+00,7.926672640382317336e-01,2.035250363431978168e-02
6.203999999999999737e+00,7.906061563104448409e-01,2.010278144875339221e-02
6.549000000000000377e+00,7.917206419873262790e-01,1.955002057359021481e-02
6.894000000000000128e+00,7.966031830214679310e-01,1.910496613442869140e-02
7.238999999999999879e+00,7.983287595835060202e-01,1.866027032360354984e-02
7.583999999999999631e+00,7.973582439181171599e-01,1.809285816570694108e-02
7.929000000000000270e+00,8.004984708033799912e-01,1.795952490615204331e-02
8.273999999999999133e+00,8.069303201293209771e-01,1.792359440008095897e-02
8.615999999999999659e+00,8.115445555507196929e-01,1.723983074194432308e-02
8.961000000000000298e+00,8.170268838578282899e-01,1.717017845547094690e-02
9.305999999999999162e+00,8.177192671394799550e-01,1.665507774705242416e-02
9.650999999999999801e+00,8.161959333877317757e-01,1.552646706512627629e-02
9.996000000000000441e+00,8.192836056297518876e-01,1.554798676831565217e-02
