# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_0o75,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o5,average_velocity_axis_0_t_inf__params_1o0_0o25,average_velocity_axis_0_t_inf__params_1o0_4o0
0.000000000000000000e+00,7.839173347369814138e-02,1.564801308817851400e-01,5.483942861783318995e-02,1.790099705650926021e-01,1.003022164621815149e-01,2.021217380606435410e-01,4.761267472004619000e-02
1.632653061224489666e-01,8.722709664394937001e-02,1.758608553604547320e-01,5.866642990154826570e-02,1.979843518293062654e-01,1.143357887417589536e-01,2.215264607949190001e-01,4.883612390412557513e-02
3.265306122448979331e-01,9.557209211537753824e-02,1.938230228219615103e-01,6.233214664307045599e-02,2.155336805929619348e-01,1.274694077686555627e-01,2.393639542094458950e-01,5.002168988488276541e-02
4.897959183673469274e-01,1.034390112653253840e-01,2.104082954013713480e-01,6.583977047038298835e-02,2.317002221222741187e-01,1.397278363193912298e-01,2.556837783916270368e-01,5.117040607444958700e-02
6.530612244897958663e-01,1.108401454711357287e-01,2.256583352337500070e-01,6.919249301146906950e-02,2.465262416834572978e-01,1.511358371704859260e-01,2.705354934288652369e-01,5.228330588495786607e-02
8.163265306122448051e-01,1.177877861101513379e-01,2.396148044541634436e-01,7.239350589431192695e-02,2.600540045427259805e-01,1.617181730984595389e-01,2.839686594085633620e-01,5.336142272853940799e-02
9.795918367346938549e-01,1.242942245597150330e-01,2.523193651976773366e-01,7.544600074689475355e-02,2.723257759662946476e-01,1.714996068798320394e-01,2.960328364181242233e-01,5.440579001732605280e-02
1.142857142857142794e+00,1.303717521971696214e-01,2.638136795993575312e-01,7.835316919720079765e-02,2.833838212203779183e-01,1.805049012911233153e-01,3.067775845449505212e-01,5.541744116344960586e-02
1.306122448979591733e+00,1.360326603998577855e-01,2.741394097942699282e-01,8.111820287321321044e-02,2.932704055711901070e-01,1.887588191088532819e-01,3.162524638764451779e-01,5.639740957904190027e-02
1.469387755102040671e+00,1.412892405451224853e-01,2.833382179174803173e-01,8.374429340291528190e-02,3.020277942849458608e-01,1.962861231095418824e-01,3.245070345000110046e-01,5.734672867623474141e-02
1.632653061224489610e+00,1.461537840103063757e-01,2.914517661040545993e-01,8.623463241429017712e-02,3.096982526278595493e-01,2.031115760697090322e-01,3.315908565030507571e-01,5.826643186715996930e-02
1.795918367346938549e+00,1.506385821727523333e-01,2.985217164890583419e-01,8.859241153532110280e-02,3.163240458661457644e-01,2.092599407658746469e-01,3.375534899729673022e-01,5.915755256394939626e-02
