# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,4.397031250000000419e-02,1.826287090336777344e-02
6.899999999999999467e-01,7.687058990036232942e-02,1.506576341831113164e-02
1.034999999999999920e+00,1.019604242149758644e-01,1.380086419388228125e-02
1.379999999999999893e+00,1.164986278589220936e-01,1.263740967609298417e-02
1.721999999999999975e+00,1.280388946355981439e-01,1.189241981044260321e-02
2.067000000000000171e+00,1.358482368960147180e-01,1.129985427940590099e-02
2.411999999999999922e+00,1.420955108085872887e-01,1.063814737419769597e-02
2.757000000000000117e+00,1.488006629431900540e-01,9.925325481527400018e-03
3.101999999999999869e+00,1.512754243104247331e-01,9.352735678686637313e-03
3.447000000000000064e+00,1.520028180641680993e-01,8.789787620586063735e-03
3.791999999999999815e+00,1.534843891642767855e-01,8.419639125791453238e-03
4.136999999999999567e+00,1.545796232456339014e-01,8.089626578586759167e-03
4.482000000000000206e+00,1.555313670044762286e-01,7.841948885050907189e-03
4.826999999999999957e+00,1.545697984239046141e-01,7.601416848267744837e-03
5.168999999999999595e+00,1.557100801502950271e-01,7.405992337271375889e-03
5.514000000000000234e+00,1.563805223422765067e-01,7.211068001850381992e-03
5.858999999999999986e+00,1.577689303782108809e-01,6.961171848551796042e-03
6.203999999999999737e+00,1.591478377735130456e-01,6.696171777273790364e-03
6.549000000000000377e+00,1.611087314141471938e-01,6.507829194020845094e-03
6.894000000000000128e+00,1.644896558601682546e-01,6.411940222445200802e-03
7.238999999999999879e+00,1.681371110477966335e-01,6.255286863587471158e-03
7.583999999999999631e+00,1.704478566616396407e-01,6.066633284130854356e-03
7.929000000000000270e+00,1.722415506221229298e-01,5.917073879694622826e-03
8.273999999999999133e+00,1.751725559027148549e-01,5.830923052414816420e-03
8.615999999999999659e+00,1.766526260871851828e-01,5.790678741095084230e-03
8.961000000000000298e+00,1.779342589589610335e-01,5.794602062029832919e-03
9.305999999999999162e+00,1.794312459493539458e-01,5.742474442457131713e-03
9.650999999999999801e+00,1.809318774042197875e-01,5.679010726404327275e-03
9.996000000000000441e+00,1.820000068386729564e-01,5.617017806369871240e-03
