# delay,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,2.502791969694457830e-01
3.265306122448979331e-01,2.457105754837428657e-01
6.530612244897958663e-01,2.413993146042139326e-01
9.795918367346938549e-01,2.373376090389813509e-01
1.306122448979591733e+00,2.335176534961675987e-01
1.632653061224489610e+00,2.299316426838950156e-01
1.959183673469387710e+00,2.265717713102861075e-01
2.285714285714285587e+00,2.234302340834632417e-01
2.612244897959183465e+00,2.204992257115488685e-01
2.938775510204081343e+00,2.177709409026653831e-01
3.265306122448979220e+00,2.152375743649352080e-01
3.591836734693877098e+00,2.128913208064807661e-01
3.918367346938775420e+00,2.107243749354245355e-01
4.244897959183672853e+00,2.087289314598888279e-01
4.571428571428571175e+00,2.068971850879961771e-01
4.897959183673468608e+00,2.052213305278689504e-01
5.224489795918366930e+00,2.036935624876295425e-01
5.551020408163265252e+00,2.023060756754004041e-01
5.877551020408162685e+00,2.010510647993039579e-01
6.204081632653061007e+00,1.999207245674626265e-01
6.530612244897958441e+00,1.989072496879988328e-01
6.857142857142856762e+00,1.980028348690349715e-01
7.183673469387754196e+00,1.971996748186934656e-01
7.510204081632652517e+00,1.964899642450967931e-01
7.836734693877550839e+00,1.958658978563673214e-01
8.163265306122449161e+00,1.953196703606275009e-01
8.489795918367345706e+00,1.948434764659996987e-01
8.816326530612244028e+00,1.944295108806063932e-01
9.142857142857142350e+00,1.940699683125700348e-01
9.469387755102040671e+00,1.937570434700129351e-01
9.795918367346937217e+00,1.934829310610575726e-01
1.012244897959183554e+01,1.932398257938263975e-01
1.044897959183673386e+01,1.930199223764417771e-01
1.077551020408163218e+01,1.928154155170261896e-01
1.110204081632653050e+01,1.926184999237020024e-01
1.142857142857142705e+01,1.924213703045917212e-01
1.175510204081632537e+01,1.922162213678176024e-01
1.208163265306122369e+01,1.919952478215022351e-01
1.240816326530612201e+01,1.917506443737679589e-01
1.273469387755101856e+01,1.914746057327371964e-01
1.306122448979591688e+01,1.911593266065323982e-01
1.338775510204081520e+01,1.907970017032759591e-01
1.371428571428571352e+01,1.903798257310903852e-01
1.404081632653061185e+01,1.898999933980979327e-01
1.436734693877550839e+01,1.893496994124211352e-01
1.469387755102040671e+01,1.887211384821824156e-01
1.502040816326530503e+01,1.880065053155041688e-01
1.534693877551020336e+01,1.871979946205088452e-01
1.567346938775510168e+01,1.862878011053187566e-01
1.600000000000000000e+01,1.852681194780564644e-01
