# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,3.350978260869565128e-02,1.932035625311418273e-02
6.899999999999999467e-01,6.599071274909421025e-02,1.699681302743713193e-02
1.034999999999999920e+00,8.825033589975846138e-02,1.496870856175477361e-02
1.379999999999999893e+00,1.056482683706974623e-01,1.336095362843541488e-02
1.721999999999999975e+00,1.197779522584567491e-01,1.215595941985072453e-02
2.067000000000000171e+00,1.317977802219399974e-01,1.123670069515587608e-02
2.411999999999999922e+00,1.413464723906509013e-01,1.056354944276306773e-02
2.757000000000000117e+00,1.484526978203210001e-01,1.002359775584159111e-02
3.101999999999999869e+00,1.546415001914087650e-01,9.542764389128037539e-03
3.447000000000000064e+00,1.605025426888417317e-01,9.094117117847770257e-03
3.791999999999999815e+00,1.657505462260185913e-01,8.728623260764753131e-03
4.136999999999999567e+00,1.699651560517131954e-01,8.421996313083181945e-03
4.482000000000000206e+00,1.730294977653670241e-01,8.151335244951755932e-03
4.826999999999999957e+00,1.757535289371633391e-01,7.888868231514347892e-03
5.168999999999999595e+00,1.782789358359329612e-01,7.635318743024608300e-03
5.514000000000000234e+00,1.806201774035409713e-01,7.396932645530423546e-03
5.858999999999999986e+00,1.826483521612049798e-01,7.173367223338355560e-03
6.203999999999999737e+00,1.845017887904980836e-01,6.969552896870131499e-03
6.549000000000000377e+00,1.864101192691632325e-01,6.767158026294730830e-03
6.894000000000000128e+00,1.880359258560433122e-01,6.602473391768094724e-03
7.238999999999999879e+00,1.892706931691618411e-01,6.470431068794591997e-03
7.583999999999999631e+00,1.904472191404189829e-01,6.356266041620027910e-03
7.929000000000000270e+00,1.914078909058125055e-01,6.246013312700880726e-03
8.273999999999999133e+00,1.922430940719800363e-01,6.152252473341491418e-03
8.615999999999999659e+00,1.931728627834479739e-01,6.064869798856719132e-03
8.961000000000000298e+00,1.938272962132783772e-01,5.971807084445395104e-03
9.305999999999999162e+00,1.944894258198676118e-01,5.885959199279804967e-03
9.650999999999999801e+00,1.951498562527523017e-01,5.803075242325743226e-03
9.996000000000000441e+00,1.954501429478041064e-01,5.714691478567481692e-03
