# surftimeconst,average_velocity_axis_0_t_inf__params_4o0_1o0,average_velocity_axis_0_t_inf__params_8o0_1o0,average_velocity_axis_0_t_inf__params_1o0_1o0
0.000000000000000000e+00,8.814340252038085355e-01,1.736228928694191875e+00,2.385426653911413564e-01
1.632653061224489666e-01,8.890757582334912756e-01,1.714899148065454293e+00,2.478696946665737422e-01
3.265306122448979331e-01,8.948697590585769079e-01,1.692574675469396217e+00,2.562012203859244663e-01
4.897959183673469274e-01,8.988910735577034794e-01,1.669317368990229866e+00,2.635722994836915967e-01
6.530612244897958663e-01,9.012147476095089260e-01,1.645189086712166349e+00,2.700179888943731177e-01
8.163265306122448051e-01,9.019158270926314058e-01,1.620251686719417661e+00,2.755733455524669862e-01
9.795918367346938549e-01,9.010693578857091879e-01,1.594567027096195577e+00,2.802734263924711589e-01
1.142857142857142794e+00,8.987503858673798751e-01,1.568196965926711650e+00,2.841532883488837036e-01
1.306122448979591733e+00,8.950339569162817366e-01,1.541203361295177432e+00,2.872479883562026881e-01
1.469387755102040671e+00,8.899951169110527083e-01,1.513648071285804253e+00,2.895925833489259582e-01
1.632653061224489610e+00,8.837089117303309482e-01,1.485592953982804554e+00,2.912221302615515817e-01
1.795918367346938549e+00,8.762503872527545035e-01,1.457099867470389221e+00,2.921716860285775708e-01
1.959183673469387710e+00,8.676945893569614210e-01,1.428230669832770694e+00,2.924763075845018823e-01
2.122448979591836427e+00,8.581165639215896368e-01,1.399047219154160304e+00,2.921710518638225285e-01
2.285714285714285587e+00,8.475913568252773089e-01,1.369611373518769604e+00,2.912909758010374661e-01
2.448979591836734304e+00,8.361940139466623734e-01,1.339984991010810145e+00,2.898711363306447630e-01
2.612244897959183465e+00,8.239995811643829882e-01,1.310229929714493924e+00,2.879465903871423205e-01
2.775510204081632626e+00,8.110831043570769783e-01,1.280408047714032271e+00,2.855523949050282062e-01
2.938775510204081343e+00,7.975196294033828348e-01,1.250581203093637184e+00,2.827236068188003770e-01
3.102040816326530503e+00,7.833842021819380497e-01,1.220811253937520213e+00,2.794952830629569007e-01
3.265306122448979220e+00,7.687518685713812250e-01,1.191160058329893134e+00,2.759024805719957341e-01
3.428571428571428381e+00,7.536976744503499637e-01,1.161689474354967277e+00,2.719802562804147783e-01
3.591836734693877098e+00,7.382966656974825348e-01,1.132461360096954639e+00,2.677636671227121012e-01
3.755102040816326259e+00,7.226238881914168743e-01,1.103537573640066771e+00,2.632877700333858262e-01
3.918367346938775420e+00,7.067543878107912514e-01,1.074979973068515005e+00,2.585876219469337434e-01
4.081632653061224580e+00,6.907632104342432688e-01,1.046850416466511557e+00,2.536982797978539206e-01
4.244897959183672853e+00,6.747254019404113068e-01,1.019210761918267982e+00,2.486548005206443424e-01
4.408163265306122014e+00,6.587160082079335233e-01,9.921228675079958315e-01,2.434922410498030487e-01
4.571428571428571175e+00,6.428100751154474102e-01,9.656485913199064353e-01,2.382456583198281075e-01
4.734693877551020336e+00,6.270826485415915696e-01,9.398497914382120122e-01,2.329501092652173366e-01
4.897959183673468608e+00,6.116087743650039377e-01,9.147883259471241146e-01,2.276406508204688317e-01
5.061224489795917769e+00,5.964634984643223392e-01,8.905260529308542949e-01,2.223523399200805495e-01
5.224489795918366930e+00,5.817218667181850433e-01,8.671248304736141055e-01,2.171202334985505578e-01
5.387755102040816091e+00,5.674589250052297640e-01,8.446465166596153207e-01,2.119793884903767023e-01
5.551020408163265252e+00,5.537497192040947702e-01,8.231529695730697149e-01,2.069648618300572729e-01
5.714285714285713524e+00,5.406692951934184421e-01,8.027060472981887296e-01,2.021117104520898100e-01
5.877551020408162685e+00,5.282926988518383826e-01,7.833676079191842501e-01,1.974549912909726590e-01
6.040816326530611846e+00,5.166949760579926387e-01,7.651995095202677177e-01,1.930297612812038044e-01
6.204081632653061007e+00,5.059511726905193685e-01,7.482636101856510180e-01,1.888710773572810364e-01
6.367346938775509280e+00,4.961363346280567299e-01,7.326217679995460363e-01,1.850139964537025894e-01
6.530612244897958441e+00,4.873255077492428811e-01,7.183358410461638810e-01,1.814935755049664201e-01
6.693877551020407601e+00,4.795937379327152028e-01,7.054676874097165484e-01,1.783448714455703188e-01
6.857142857142856762e+00,4.730160710571124083e-01,6.940791651744154800e-01,1.756029412100124087e-01
7.020408163265305923e+00,4.676675530010721005e-01,6.842321324244725611e-01,1.733028417327907023e-01
7.183673469387754196e+00,4.636232296432327704e-01,6.759884472440992331e-01,1.714796299484031561e-01
7.346938775510203357e+00,4.609581468622321321e-01,6.694099677175077145e-01,1.701683627913477270e-01
7.510204081632652517e+00,4.597473505367082325e-01,6.645585519289091136e-01,1.694040971961227049e-01
7.673469387755101678e+00,4.600658865452991186e-01,6.614960579625150938e-01,1.692218900972256579e-01
7.836734693877550839e+00,4.619888007666432816e-01,6.602843439025375405e-01,1.696567984291547093e-01
8.000000000000000000e+00,4.655911390793781024e-01,6.609852678331882281e-01,1.707438791264080935e-01
