# time,average_velocity_axis_0_t_inf,95CLI,vs,delay,surftimeconst
9.996000000000000441e+00,3.623658396952530447e-01,5.491760612115621255e-03,1.000000000000000000e+00,0.0,3.000000000000000000e+00
9.996000000000000441e+00,3.457255629790978446e-01,5.685194538381215662e-03,1.000000000000000000e+00,2.500000000000000000e-01,2.000000000000000000e+00
9.996000000000000441e+00,3.287548685489820599e-01,5.634908884597654780e-03,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00
9.996000000000000441e+00,3.176471813334709182e-01,5.554159529257962462e-03,1.000000000000000000e+00,7.500000000000000000e-01,2.000000000000000000e+00
9.996000000000000441e+00,1.687430422168867405e+00,2.861564821116964474e-02,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,9.482471613645456765e-01,1.303225972930958064e-02,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.956630214585833638e-01,5.657739795033568664e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.763600635566726416e-01,5.835934104158873453e-03,1.000000000000000000e+00,1.500000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.579353580299307280e-01,5.699998922942150180e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.346244270169005053e-01,6.051171247006184757e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.257313108837284976e-01,5.782595481778078986e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
