# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.254475905797101554e+00,1.709993239468326487e-01
6.899999999999999467e-01,1.422130978260869760e+00,1.201805004884349132e-01
1.034999999999999920e+00,1.473839553140096514e+00,9.947839106979204649e-02
1.379999999999999893e+00,1.517823505434782838e+00,8.211689437673777570e-02
1.721999999999999975e+00,1.544123076364692260e+00,6.885014504605306562e-02
2.067000000000000171e+00,1.569116805757135857e+00,7.767264448701663437e-02
2.411999999999999922e+00,1.611922600538971739e+00,7.603002933608164760e-02
2.757000000000000117e+00,1.630732680449764160e+00,7.481698529675290255e-02
3.101999999999999869e+00,1.628473444551902016e+00,6.586093995854618022e-02
3.447000000000000064e+00,1.633130638961415748e+00,5.977158880463454005e-02
3.791999999999999815e+00,1.631888696598101429e+00,5.536341174537656035e-02
4.136999999999999567e+00,1.633124456127629021e+00,5.212620941111183875e-02
4.482000000000000206e+00,1.637894536479250096e+00,4.972072876954223425e-02
4.826999999999999957e+00,1.640382807644499508e+00,4.530955614817450128e-02
5.168999999999999595e+00,1.640866608628361423e+00,4.372673447960277737e-02
5.514000000000000234e+00,1.641018668389553792e+00,3.880634129668848742e-02
5.858999999999999986e+00,1.646140158303464940e+00,3.743017372176450641e-02
6.203999999999999737e+00,1.646315139426176799e+00,3.943722017162450827e-02
6.549000000000000377e+00,1.638241706749121951e+00,3.818309599610732880e-02
6.894000000000000128e+00,1.639574475993617497e+00,3.375787553641034638e-02
7.238999999999999879e+00,1.646344790371598199e+00,3.192765289442573567e-02
7.583999999999999631e+00,1.654669625197784821e+00,2.992511847782481846e-02
7.929000000000000270e+00,1.666695926346323464e+00,3.077895081129201557e-02
8.273999999999999133e+00,1.676307612702441663e+00,3.051248193666393493e-02
8.615999999999999659e+00,1.680153261374187412e+00,2.946228943632301506e-02
8.961000000000000298e+00,1.686556996986943391e+00,3.091485116043032194e-02
9.305999999999999162e+00,1.686264365731786175e+00,3.083942682795355258e-02
9.650999999999999801e+00,1.683919030411356488e+00,2.850980852540635838e-02
9.996000000000000441e+00,1.684799944977991126e+00,2.861210858814506458e-02
