# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,8.820049535778985705e-02,1.883704873224327503e-02
6.899999999999999467e-01,1.372727397531703086e-01,1.515289085918940584e-02
1.034999999999999920e+00,1.586863856808574946e-01,1.316927330457189592e-02
1.379999999999999893e+00,1.726798276154891398e-01,1.199723567117173990e-02
1.721999999999999975e+00,1.852074265252976193e-01,1.128370873944993524e-02
2.067000000000000171e+00,1.933200899741472911e-01,1.078823124125439376e-02
2.411999999999999922e+00,1.968391198305348422e-01,1.044984636961309582e-02
2.757000000000000117e+00,2.016190602188746572e-01,9.906654167662353599e-03
3.101999999999999869e+00,2.059849218372219459e-01,9.285653654324117073e-03
3.447000000000000064e+00,2.086466736247098996e-01,8.727474141661077656e-03
3.791999999999999815e+00,2.114033195399031007e-01,8.331638883570411866e-03
4.136999999999999567e+00,2.142953149077683195e-01,7.972803136631255450e-03
4.482000000000000206e+00,2.154736456677404099e-01,7.670555166544408381e-03
4.826999999999999957e+00,2.158427649403744653e-01,7.349384351411770815e-03
5.168999999999999595e+00,2.157531681130900880e-01,7.056409818512015576e-03
5.514000000000000234e+00,2.158240669701554926e-01,6.773503461007981952e-03
5.858999999999999986e+00,2.160393465181771888e-01,6.545178804813510560e-03
6.203999999999999737e+00,2.159241188585489246e-01,6.363849835088474481e-03
6.549000000000000377e+00,2.160419247869426462e-01,6.270416105963502740e-03
6.894000000000000128e+00,2.165414939904717895e-01,6.244132023395548847e-03
7.238999999999999879e+00,2.172746300421329047e-01,6.225706573903858586e-03
7.583999999999999631e+00,2.183210992611913648e-01,6.192126099682884396e-03
7.929000000000000270e+00,2.187927396660991342e-01,6.156177836172484208e-03
8.273999999999999133e+00,2.195816279488080336e-01,6.180374180346255922e-03
8.615999999999999659e+00,2.207080356948555311e-01,6.205863046164075865e-03
8.961000000000000298e+00,2.210716523991114180e-01,6.213668388589965209e-03
9.305999999999999162e+00,2.208278751401985263e-01,6.181696894424612045e-03
9.650999999999999801e+00,2.203780004177028351e-01,6.105773060137319706e-03
9.996000000000000441e+00,2.194152658133565748e-01,6.027619192898524096e-03
