# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.465245414402174817e-02,5.502121996188208408e-01
6.899999999999999467e-01,1.352286430027171971e-02,4.166279146427381841e-01
1.034999999999999920e+00,-9.590923346920290360e-01,1.697147440549116260e+00
1.379999999999999893e+00,-5.741014273380888877e-01,1.280827007446451171e+00
1.721999999999999975e+00,-5.485743922854966481e-01,1.054117862114146709e+00
2.067000000000000171e+00,-2.846994209603289083e-01,9.028189378059370274e-01
2.411999999999999922e+00,6.985173573862456742e+00,1.402807837525894108e+01
2.757000000000000117e+00,6.065104914053999430e+00,1.227454616055172920e+01
3.101999999999999869e+00,5.337351852131691388e+00,1.091316897959666754e+01
3.447000000000000064e+00,4.934908923010496551e+00,9.821826004186553050e+00
3.791999999999999815e+00,4.447609508916800181e+00,8.928673487557892585e+00
4.136999999999999567e+00,4.125141552935020606e+00,8.184727710187054583e+00
4.482000000000000206e+00,3.810765799744115334e+00,7.555502602531139367e+00
4.826999999999999957e+00,3.589893443617929947e+00,7.015619673760225439e+00
5.168999999999999595e+00,3.351779292907538288e+00,6.551550905458679352e+00
5.514000000000000234e+00,3.165577960999840901e+00,6.142237728321722656e+00
5.858999999999999986e+00,3.024527360917765417e+00,5.780772612716303271e+00
6.203999999999999737e+00,2.888018262694682647e+00,5.459658299038097518e+00
6.549000000000000377e+00,3.074180923226590423e+00,5.205685162894289952e+00
6.894000000000000128e+00,2.837035331759274470e+00,4.946055985839467262e+00
7.238999999999999879e+00,2.687695272838531046e+00,4.712584143586907359e+00
7.583999999999999631e+00,2.598844721669385294e+00,4.498828548793675886e+00
7.929000000000000270e+00,2.513962676320705469e+00,4.303595953177338451e+00
8.273999999999999133e+00,2.432450271086384674e+00,4.124752460313631630e+00
8.615999999999999659e+00,2.331794524721448436e+00,3.961195299869270769e+00
8.961000000000000298e+00,2.285494728458737690e+00,3.809210338895278714e+00
9.305999999999999162e+00,2.190919026955055138e+00,3.668395546524038764e+00
9.650999999999999801e+00,2.128610815811671664e+00,3.537337358327961478e+00
9.996000000000000441e+00,2.072291156794749512e+00,3.415741474278077394e+00
