# time,average_velocity_axis_0_t_inf,95CLI,vs,delay
9.996000000000000441e+00,8.789914825305121804e-01,2.076594173186379483e-02,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.697903061224489640e+00,3.633134641204957549e-02,8.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.706507071578631241e+00,3.851701528282967107e-02,8.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,8.473457898784513276e-01,1.719813537891937485e-02,4.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,8.424909838935572548e-01,1.874457410014714054e-02,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.694671762454981856e+00,3.214684506350264787e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,8.075220963385354445e-01,7.237598926695229529e-02,4.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,1.701377194627851086e+00,4.367283748341359295e-02,8.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,8.555406271883753133e-01,6.556738410598078604e-02,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.772832439225690226e+00,1.673719601841505700e-01,8.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,9.620539762780111470e-01,3.119804508490195416e-01,4.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.618042310674269624e+00,3.101455731365841406e-01,8.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.170750351703181202e+00,8.463872006269231862e-01,4.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.513246667416966673e+00,2.952834162069353230e-01,8.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,4.876890990771308165e-01,7.185462693823402303e-01,4.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.807158138255302138e+00,1.857007491277957167e-01,8.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.731878645208083212e+00,8.246250004658280952e-01,8.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,4.613464104391756804e-01,5.249777353062523577e-01,4.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,1.692752050820327980e+00,5.483293209957336156e-01,8.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,1.505384372499000145e-01,1.224705506898318808e+00,4.000000000000000000e+00,7.000000000000000000e+00
