# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,8.880610054347827242e-01,9.177197640657971944e-02
6.899999999999999467e-01,8.531766077898551570e-01,6.742818181505698394e-02
1.034999999999999920e+00,8.517450935990338312e-01,5.707471694121104416e-02
1.379999999999999893e+00,8.409902173913044177e-01,5.177378902173310204e-02
1.721999999999999975e+00,8.552569777148665287e-01,4.787300537415307283e-02
2.067000000000000171e+00,8.539585903483308815e-01,4.316564266361381380e-02
2.411999999999999922e+00,8.451518319859039341e-01,4.039073249167723922e-02
2.757000000000000117e+00,8.550214510790714595e-01,3.757973646019274055e-02
3.101999999999999869e+00,8.562595956237911698e-01,3.452165132286991178e-02
3.447000000000000064e+00,8.614414889759209881e-01,3.172809461523236341e-02
3.791999999999999815e+00,8.612357347705696942e-01,3.271889953822492564e-02
4.136999999999999567e+00,8.576039324993958157e-01,3.073267723619457423e-02
4.482000000000000206e+00,8.565789059013833029e-01,2.849083913875694735e-02
4.826999999999999957e+00,8.533582129169257069e-01,2.766994927938725216e-02
5.168999999999999595e+00,8.586229716821436320e-01,2.700441018762254203e-02
5.514000000000000234e+00,8.599525185890459777e-01,2.406254087914405648e-02
5.858999999999999986e+00,8.601748298557774230e-01,2.228588513781904618e-02
6.203999999999999737e+00,8.573657897122823890e-01,2.291761034319054341e-02
6.549000000000000377e+00,8.570614335203847745e-01,2.265535732273530820e-02
6.894000000000000128e+00,8.543087694009283695e-01,2.309772352870477150e-02
7.238999999999999879e+00,8.517249123670396216e-01,2.284451557409381342e-02
7.583999999999999631e+00,8.489134341211761470e-01,2.195870049315420958e-02
7.929000000000000270e+00,8.492908685679152470e-01,2.175143202232889331e-02
8.273999999999999133e+00,8.476965683164130461e-01,2.099573841976613495e-02
8.615999999999999659e+00,8.450769661821031509e-01,1.959091411805668689e-02
8.961000000000000298e+00,8.448063622921547777e-01,1.936049193745385463e-02
9.305999999999999162e+00,8.435376789839887923e-01,1.952973850211221080e-02
9.650999999999999801e+00,8.419449911278623633e-01,1.912240649637616044e-02
9.996000000000000441e+00,8.424909838935572548e-01,1.874457410014714054e-02
