# time,average_velocity_axis_0_t_inf,95CLI,vs,delay
9.996000000000000441e+00,2.278481870287177302e-01,5.842416718646403252e-03,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,2.370114136474902322e-01,5.859641050308266735e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,2.370333642245960604e-01,6.097957999542291153e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.386524602028310960e-01,5.926290771621421996e-03,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,2.292386444812299917e-01,5.991644966268379509e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.235621989029986934e-01,5.884198002628291020e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.144171405867034419e-01,5.904489732219027343e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.094136694716949298e-01,5.703447053273033931e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.120649945525084901e-01,5.674142525053757491e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,2.124898083256740178e-01,5.359396727023199233e-03,1.000000000000000000e+00,7.000000000000000000e+00
