# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,2.121710060009058263e-01,1.211409189925409177e-02
6.899999999999999467e-01,2.124375084918478374e-01,1.259769948800250339e-02
1.034999999999999920e+00,2.148039675800120785e-01,1.229031535740861963e-02
1.379999999999999893e+00,2.201266176970108901e-01,1.171717559385367091e-02
1.721999999999999975e+00,2.275167887086236851e-01,1.141053485418530924e-02
2.067000000000000171e+00,2.298541203661707555e-01,1.117478082413623369e-02
2.411999999999999922e+00,2.300795254683613289e-01,1.087497253457999670e-02
2.757000000000000117e+00,2.343348111058215499e-01,1.038225749153151752e-02
3.101999999999999869e+00,2.336456050909695437e-01,9.812604777677945422e-03
3.447000000000000064e+00,2.332820990739229439e-01,9.316922630684884576e-03
3.791999999999999815e+00,2.326963482949301332e-01,8.859030002965234338e-03
4.136999999999999567e+00,2.331536944608109951e-01,8.596099693248298451e-03
4.482000000000000206e+00,2.341568313183288730e-01,8.320854734833207228e-03
4.826999999999999957e+00,2.344760801869691380e-01,7.988271273572693926e-03
5.168999999999999595e+00,2.340290032827916644e-01,7.674893414925189165e-03
5.514000000000000234e+00,2.329171336951962878e-01,7.386703664814996996e-03
5.858999999999999986e+00,2.328250803051395423e-01,7.140854269433184395e-03
6.203999999999999737e+00,2.325895917389486645e-01,6.873699242745480442e-03
6.549000000000000377e+00,2.329023595563253779e-01,6.726876483353398661e-03
6.894000000000000128e+00,2.338252681226428709e-01,6.621196772713383930e-03
7.238999999999999879e+00,2.350902859618904661e-01,6.565623672695052905e-03
7.583999999999999631e+00,2.356038132035782606e-01,6.501361208861113940e-03
7.929000000000000270e+00,2.359752414495049910e-01,6.433439257211131732e-03
8.273999999999999133e+00,2.373192843593259216e-01,6.395828440702901359e-03
8.615999999999999659e+00,2.386697843900519589e-01,6.327254854515721241e-03
8.961000000000000298e+00,2.396720972085635282e-01,6.233443156429646984e-03
9.305999999999999162e+00,2.399368454953457741e-01,6.115619941938280069e-03
9.650999999999999801e+00,2.395110247035605322e-01,6.002682319856256568e-03
9.996000000000000441e+00,2.386524602028310960e-01,5.926290771621421996e-03
