# delay,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,-7.616168857000626957e-01
1.632653061224489666e-01,-4.593407080648536089e-01
3.265306122448979331e-01,-1.712372801679015732e-01
4.897959183673469274e-01,1.026730352655080558e-01
6.530612244897958663e-01,3.623698755100889790e-01
8.163265306122448051e-01,6.078328778405558408e-01
9.795918367346938549e-01,8.390416795316234522e-01
1.142857142857142794e+00,1.055975917858004598e+00
1.306122448979591733e+00,1.258615230094415116e+00
1.469387755102040671e+00,1.446939253515568513e+00
1.632653061224489610e+00,1.620927625396179073e+00
1.795918367346938549e+00,1.780559983010961522e+00
1.959183673469387710e+00,1.925815963634629924e+00
2.122448979591836427e+00,2.056675204541897894e+00
2.285714285714285587e+00,2.173117343007480162e+00
2.448979591836734304e+00,2.275122016306091233e+00
2.612244897959183465e+00,2.362668861712446500e+00
2.775510204081632626e+00,2.435737516501257804e+00
2.938775510204081343e+00,2.494307617947240985e+00
3.102040816326530503e+00,2.538358803325110102e+00
3.265306122448979220e+00,2.567870709909579219e+00
3.428571428571428381e+00,2.582822974975362396e+00
3.591836734693877098e+00,2.583195235797175471e+00
3.755102040816326259e+00,2.568967129649730730e+00
3.918367346938775420e+00,2.540118293807743122e+00
4.081632653061224580e+00,2.496628365545926265e+00
4.244897959183672853e+00,2.438476982138995997e+00
4.408163265306122014e+00,2.365643780861666379e+00
4.571428571428571175e+00,2.278108398988648808e+00
4.734693877551020336e+00,2.175850473794661788e+00
4.897959183673468608e+00,2.058849642554417159e+00
5.061224489795917769e+00,1.927085542542631424e+00
5.224489795918366930e+00,1.780537811034014428e+00
5.387755102040816091e+00,1.619186085303284228e+00
5.551020408163265252e+00,1.443010002625153998e+00
5.714285714285713524e+00,1.251989200274338243e+00
5.877551020408162685e+00,1.046103315525551913e+00
6.040816326530611846e+00,8.253319856535076271e-01
6.204081632653061007e+00,5.896548479329196679e-01
6.367346938775509280e+00,3.390515396385058722e-01
6.530612244897958441e+00,7.350169804497511117e-02
6.693877551020407601e+00,-2.070150395729547232e-01
6.857142857142856762e+00,-5.025190359405729001e-01
7.020408163265305923e+00,-8.130306537831579750e-01
7.183673469387754196e+00,-1.138570255826001132e+00
7.346938775510203357e+00,-1.479158204794389864e+00
7.510204081632652517e+00,-1.834814863413604336e+00
7.673469387755101678e+00,-2.205560594408937813e+00
7.836734693877550839e+00,-2.591415760505666466e+00
8.000000000000000000e+00,-2.992400724429083780e+00
