# time,average_velocity_axis_0_t_inf,95CLI,vs,delay
9.996000000000000441e+00,2.096393477312800124e-01,5.877220992170115003e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.344707939816551567e-01,5.918882306702045147e-03,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,2.315600063267494457e-01,5.811803647232954666e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,2.400285287943302315e-01,3.509272145878095106e-02,1.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,2.246154255647571374e-01,7.358920436391243325e-02,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.612398788617008805e-01,5.560563925658688067e-01,1.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,-3.360379200508326059e-02,2.896685935204718065e-01,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.453626541534582373e+00,6.416836022004961393e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,-6.520963250534584921e-01,1.786568054956619855e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,6.814343424967640672e+00,2.061188759643523483e+01,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,5.553358428039183892e+00,7.242034619250541816e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,-3.752834651341005134e+00,6.245101329384342925e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,-2.091183398652429748e+00,4.339825988696340175e+00,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,-1.405013651261285634e+00,6.496109231387438676e+00,1.000000000000000000e+00,8.000000000000000000e+00
