# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,2.272306385869565237e-01,1.015059125517587396e-01
6.899999999999999467e-01,1.979064891870471188e-01,8.319878579307900257e-02
1.034999999999999920e+00,2.016293978336353154e-01,7.188902376172892628e-02
1.379999999999999893e+00,2.081718304177989365e-01,5.837803677673608638e-02
1.721999999999999975e+00,2.154061904535060912e-01,4.822356123173912601e-02
2.067000000000000171e+00,2.194307982394472223e-01,4.182933785123900405e-02
2.411999999999999922e+00,2.428610864136349634e-01,5.752268198709940134e-02
2.757000000000000117e+00,3.296383796500952368e-01,1.789279140151855407e-01
3.101999999999999869e+00,3.044882872315240463e-01,1.612386250704094248e-01
3.447000000000000064e+00,2.922257533724978429e-01,1.457381303065081180e-01
3.791999999999999815e+00,2.888805936016614062e-01,1.328192235139546984e-01
4.136999999999999567e+00,2.853400547838108037e-01,1.218841838175051678e-01
4.482000000000000206e+00,2.796557527854472980e-01,1.129318966148820103e-01
4.826999999999999957e+00,2.369902586525015897e-01,1.321914439668949171e-01
5.168999999999999595e+00,2.316290290524037898e-01,1.235422674123442116e-01
5.514000000000000234e+00,2.354993484270153092e-01,1.163844745036652084e-01
5.858999999999999986e+00,2.324964456058520867e-01,1.096990388236913361e-01
6.203999999999999737e+00,2.297708282962604986e-01,1.035915284741654729e-01
6.549000000000000377e+00,2.277706335175217478e-01,9.824926076403237007e-02
6.894000000000000128e+00,2.232973957200101722e-01,9.365459052803735973e-02
7.238999999999999879e+00,2.200412974372755182e-01,8.956239198976084781e-02
7.583999999999999631e+00,2.195692562312516749e-01,8.558001081199777260e-02
7.929000000000000270e+00,2.113322765914679990e-01,8.344535150959769831e-02
8.273999999999999133e+00,2.126500530653251397e-01,8.011369582871336048e-02
8.615999999999999659e+00,2.042022958966240309e-01,7.932643100865797992e-02
8.961000000000000298e+00,2.205453891777563735e-01,8.085772155179425658e-02
9.305999999999999162e+00,2.275779518506205745e-01,7.886190942343268562e-02
9.650999999999999801e+00,2.247012557596039239e-01,7.609416458384160586e-02
9.996000000000000441e+00,2.246154255647571374e-01,7.358920436391243325e-02
