# time,average_velocity_axis_0_t_inf,95CLI,vs,delay
9.996000000000000441e+00,1.700245279361744632e+00,3.882840823286758114e-02,8.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,8.542816282763104896e-01,1.770916715374333886e-02,4.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.695984024859944039e+00,2.859631428191185612e-02,8.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,8.656027254651860181e-01,1.871492280770651120e-02,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.692397077581032416e+00,2.398086910810185574e-02,8.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,8.538123968337334446e-01,1.845216789052528741e-02,4.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.721144907963185311e+00,3.157460210551379931e-02,8.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,8.801412236769707853e-01,2.044146408289666469e-02,4.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,8.527602853641456093e-01,7.963445545211010612e-02,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.742268813775510239e+00,4.815628214750624497e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.575134385004001381e+00,3.417080654385344918e-01,8.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,9.205822344562824000e-01,6.594304070471807000e-01,4.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,4.521029317977190987e-01,6.210609219917978541e-01,4.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,2.039272477741096434e+00,7.003423480111040655e-01,8.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,2.131040116046418298e+00,2.156057793244662957e+00,8.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,-4.402514505802321287e-01,1.944566950886341461e+00,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.610097645308123271e+00,3.182085962754074959e+00,8.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,-8.370271593012205136e-01,2.842539450362448594e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,-3.648568821278510566e+00,1.145074257307872223e+01,4.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.941858365408663474e+02,3.632928701556108990e+02,8.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,-4.988871286014404660e+00,1.149878258104787854e+01,8.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.518890253132503254e+01,4.502199907628430253e+01,4.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,-3.592696724002100606e+00,2.358468464644436224e+01,4.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,-2.063929357993196945e+01,3.343030645318967231e+01,8.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,-2.183895689525809924e+00,1.316154354975636132e+01,8.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,-6.871164450155058390e-01,2.433813904003655715e+00,4.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,-6.990141794217688442e+00,1.453283693976934288e+01,4.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,-1.759188262805122083e+00,2.567439455972251761e+00,8.000000000000000000e+00,8.000000000000000000e+00
