# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,-4.855334728260869070e+01,6.348453114873486669e+01
6.899999999999999467e-01,-2.288677880434782708e+01,3.128099618178904961e+01
1.034999999999999920e+00,-1.043279347826086934e+01,2.331467263965973302e+01
1.379999999999999893e+00,-6.952708469202899977e+00,1.767011153775186116e+01
1.721999999999999975e+00,-6.465296893147502999e+00,1.418037010900298611e+01
2.067000000000000171e+00,-4.351564253749394595e+00,1.202952912399574714e+01
2.411999999999999922e+00,-3.782256685323383216e+00,1.025476977469750040e+01
2.757000000000000117e+00,-3.454559303590858388e+00,8.892574739650868310e+00
3.101999999999999869e+00,-2.887284856544164668e+00,8.050119190395587765e+00
3.447000000000000064e+00,-4.021038638671308618e+00,7.710585623596857729e+00
3.791999999999999815e+00,-3.817959536524261122e+00,6.811730021087151421e+00
4.136999999999999567e+00,-3.517649489364273574e+00,6.259726779765616200e+00
4.482000000000000206e+00,-3.081138428714858879e+00,5.837015116311716767e+00
4.826999999999999957e+00,-4.105924461363166245e+00,4.990926079507397972e+00
5.168999999999999595e+00,-3.535549102824530721e+00,4.854927044826284899e+00
5.514000000000000234e+00,-3.167328708741385501e+00,4.667865481304145803e+00
5.858999999999999986e+00,-2.587313150708312026e+00,4.285066595571190184e+00
6.203999999999999737e+00,-2.445473212846550837e+00,4.073965355124887999e+00
6.549000000000000377e+00,-2.455833600549701679e+00,3.835771651219783251e+00
6.894000000000000128e+00,-2.424923620176965056e+00,3.621391565709123572e+00
7.238999999999999879e+00,-2.101594125569830496e+00,3.608064213802727238e+00
7.583999999999999631e+00,-1.990961778085442724e+00,3.491266440039586971e+00
7.929000000000000270e+00,-1.912024372556438534e+00,3.393088032462269421e+00
8.273999999999999133e+00,-1.807628837321730630e+00,3.273068517354329909e+00
8.615999999999999659e+00,-1.344771711060817276e+00,3.038805917675217572e+00
8.961000000000000298e+00,-1.632570241881486250e+00,2.963285635837342280e+00
9.305999999999999162e+00,-1.604112272995917188e+00,2.827816768627267940e+00
9.650999999999999801e+00,-1.689258133872137746e+00,2.706741923763545277e+00
9.996000000000000441e+00,-1.759188262805122083e+00,2.567439455972251761e+00
