# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,5.997369791666667949e-02,1.746788649731262355e-02
6.899999999999999467e-01,4.909135246829710725e-02,1.499600908607460689e-02
1.034999999999999920e+00,3.709893757548309023e-02,1.404432034021788761e-02
1.379999999999999893e+00,2.605722514719203270e-02,1.273639231152350927e-02
1.721999999999999975e+00,2.074817617595818911e-02,1.223827042811258259e-02
2.067000000000000171e+00,2.449213458514755415e-02,1.158266692890254357e-02
2.411999999999999922e+00,2.547557622046020195e-02,1.096466800996706743e-02
2.757000000000000117e+00,2.752697714057399103e-02,1.044276020324536210e-02
3.101999999999999869e+00,2.537013166908446554e-02,9.713550559619277616e-03
3.447000000000000064e+00,1.770390523009138239e-02,9.225803236707482910e-03
3.791999999999999815e+00,1.586689906381856530e-02,8.803492881879688634e-03
4.136999999999999567e+00,1.424655783553903897e-02,8.441524400386974172e-03
4.482000000000000206e+00,1.557715344886490341e-02,7.958388547643083927e-03
4.826999999999999957e+00,1.539606154184793886e-02,7.597397955868826457e-03
5.168999999999999595e+00,1.473969820081253920e-02,7.388249815255077367e-03
5.514000000000000234e+00,1.335629370976151691e-02,7.215273288148394380e-03
5.858999999999999986e+00,1.256391992420848557e-02,7.045853120784851230e-03
6.203999999999999737e+00,1.034052107889063370e-02,6.900292387628684937e-03
6.549000000000000377e+00,7.919508673795618708e-03,6.818173028517933963e-03
6.894000000000000128e+00,5.507676653838483767e-03,6.756345271551424114e-03
7.238999999999999879e+00,3.987571525547382173e-03,6.671951717476938722e-03
7.583999999999999631e+00,3.713320446416798048e-03,6.609146433016411561e-03
7.929000000000000270e+00,2.592051823212258507e-03,6.572985804259625850e-03
8.273999999999999133e+00,5.683437953226976903e-04,6.523688267786626784e-03
8.615999999999999659e+00,-5.883249550255337940e-04,6.437027241140784971e-03
8.961000000000000298e+00,-2.712788402522039836e-03,6.342411169590397337e-03
9.305999999999999162e+00,-3.588244269490113367e-03,6.233869439313996161e-03
9.650999999999999801e+00,-3.899731285941871774e-03,6.178066230666233796e-03
9.996000000000000441e+00,-4.152741272290165833e-03,6.153019181239561576e-03
