# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,3.076442481884058416e-02,1.744407836854021052e-02
6.899999999999999467e-01,3.630120301177536257e-02,1.422447383835929655e-02
1.034999999999999920e+00,3.730998830012077078e-02,1.335520178433544959e-02
1.379999999999999893e+00,3.933091881793478878e-02,1.228386827289302922e-02
1.721999999999999975e+00,4.342115817363530195e-02,1.149546279420143868e-02
2.067000000000000171e+00,4.352473155161465379e-02,1.077634708687548112e-02
2.411999999999999922e+00,4.409241674116397280e-02,1.048833403930583136e-02
2.757000000000000117e+00,4.182349119854007757e-02,1.006631602867686000e-02
3.101999999999999869e+00,4.059556208696003116e-02,9.546673062834140980e-03
3.447000000000000064e+00,4.016862035828255850e-02,9.272395462166670502e-03
3.791999999999999815e+00,4.077764712305512185e-02,8.926695327131093163e-03
4.136999999999999567e+00,3.896685093175912551e-02,8.551206340124017924e-03
4.482000000000000206e+00,3.745188697498326447e-02,8.091871725456844383e-03
4.826999999999999957e+00,3.448205123847628006e-02,7.805042314812834538e-03
5.168999999999999595e+00,3.528075217794786334e-02,7.593013250823310925e-03
5.514000000000000234e+00,3.486249720172515665e-02,7.333031782082127630e-03
5.858999999999999986e+00,3.563321885934032929e-02,7.146530716234840430e-03
6.203999999999999737e+00,3.534591830245607802e-02,6.993559504918678803e-03
6.549000000000000377e+00,3.513948530429263084e-02,6.866105334074929997e-03
6.894000000000000128e+00,3.390598043248658350e-02,6.819317830412888713e-03
7.238999999999999879e+00,3.316367613793341773e-02,6.772710630865009032e-03
7.583999999999999631e+00,3.268699330519020396e-02,6.676446035707688485e-03
7.929000000000000270e+00,3.187435684079013842e-02,6.629316910780402167e-03
8.273999999999999133e+00,3.204398119296894554e-02,6.560033873652094082e-03
8.615999999999999659e+00,3.222880816304694862e-02,6.480922899148005255e-03
8.961000000000000298e+00,3.198891703458039970e-02,6.437325236011069013e-03
9.305999999999999162e+00,3.124292028916156316e-02,6.332727475544463851e-03
9.650999999999999801e+00,3.108390271652548831e-02,6.288080661373384589e-03
9.996000000000000441e+00,3.110675442051820741e-02,6.193527572821230440e-03
