# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,-6.527636152626811739e-02,1.709925075290306615e-02
6.899999999999999467e-01,-6.322765936367752415e-02,1.424353599401920016e-02
1.034999999999999920e+00,-6.967126264341788611e-02,1.324630638220618446e-02
1.379999999999999893e+00,-6.952023465806159153e-02,1.240546247221636922e-02
1.721999999999999975e+00,-6.516380446519309810e-02,1.154690380429265056e-02
2.067000000000000171e+00,-6.103559988434324735e-02,1.094023165964347517e-02
2.411999999999999922e+00,-5.977199694884950676e-02,1.044930912012836770e-02
2.757000000000000117e+00,-5.744230240637468454e-02,9.826668096274478181e-03
3.101999999999999869e+00,-5.956159804914168410e-02,9.335462770868885318e-03
3.447000000000000064e+00,-6.111891029563750605e-02,8.961866946329137204e-03
3.791999999999999815e+00,-6.202534761710509770e-02,8.618886499100853610e-03
4.136999999999999567e+00,-6.420597820544779455e-02,8.303972419327785778e-03
4.482000000000000206e+00,-6.438294780685240026e-02,7.950926419582345084e-03
4.826999999999999957e+00,-6.658196590305831553e-02,7.690583673328479745e-03
5.168999999999999595e+00,-6.519479824131844958e-02,7.474793197127253298e-03
5.514000000000000234e+00,-6.503282766027385087e-02,7.266231809782399721e-03
5.858999999999999986e+00,-6.547249323956734479e-02,7.052889732715368967e-03
6.203999999999999737e+00,-6.693660686401918525e-02,6.866835347864732632e-03
6.549000000000000377e+00,-6.794568081720492314e-02,6.762718988463785677e-03
6.894000000000000128e+00,-7.013031074915687668e-02,6.739401934388100646e-03
7.238999999999999879e+00,-7.102871544325874142e-02,6.729128739737897692e-03
7.583999999999999631e+00,-7.089426109861221570e-02,6.611946601916082571e-03
7.929000000000000270e+00,-7.106453946253468712e-02,6.488290633631151744e-03
8.273999999999999133e+00,-7.031446469173012470e-02,6.413356424448812300e-03
8.615999999999999659e+00,-6.895478955395484277e-02,6.345223761544695890e-03
8.961000000000000298e+00,-6.972780159336290640e-02,6.276645956009735752e-03
9.305999999999999162e+00,-7.053175559618794777e-02,6.222603282472749346e-03
9.650999999999999801e+00,-7.126409898828489631e-02,6.166210682065823186e-03
9.996000000000000441e+00,-7.148886556575755058e-02,6.118342704334932096e-03
