# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,9.084596637228262161e-02,1.798964699315757157e-02
6.899999999999999467e-01,7.870959861865942098e-02,1.482777042353016807e-02
1.034999999999999920e+00,6.645253151419083792e-02,1.340564142866892787e-02
1.379999999999999893e+00,6.271739342730978106e-02,1.223420581685142478e-02
1.721999999999999975e+00,5.941148839013501298e-02,1.172316161590396429e-02
2.067000000000000171e+00,6.045155220050193318e-02,1.108201634872119437e-02
2.411999999999999922e+00,5.598290124896351805e-02,1.065092215588287275e-02
2.757000000000000117e+00,5.360069574322179342e-02,1.015251495174409463e-02
3.101999999999999869e+00,5.262642454716715684e-02,9.414708263183390810e-03
3.447000000000000064e+00,4.936437991822598820e-02,8.921421828018943900e-03
3.791999999999999815e+00,4.768362542647350266e-02,8.592500703658689787e-03
4.136999999999999567e+00,4.555023572523871078e-02,8.325038261667224229e-03
4.482000000000000206e+00,4.686883536751171309e-02,8.006245708502321423e-03
4.826999999999999957e+00,4.803393772173451121e-02,7.747437256584347766e-03
5.168999999999999595e+00,4.840000483652544261e-02,7.467597581353931438e-03
5.514000000000000234e+00,4.805652745426414185e-02,7.175412084461257368e-03
5.858999999999999986e+00,4.672498539906554116e-02,6.941228905699266261e-03
6.203999999999999737e+00,4.523305717581399543e-02,6.766805771304560020e-03
6.549000000000000377e+00,4.368982621392579480e-02,6.657216380777186346e-03
6.894000000000000128e+00,4.069580984710437221e-02,6.525245054425981781e-03
7.238999999999999879e+00,3.927270767500690846e-02,6.429538580177303168e-03
7.583999999999999631e+00,3.904917978536227158e-02,6.372206386436175644e-03
7.929000000000000270e+00,3.863607645293384851e-02,6.290925858388981586e-03
8.273999999999999133e+00,3.739968953952139963e-02,6.249756237036584346e-03
8.615999999999999659e+00,3.635317412281656446e-02,6.180893230521738654e-03
8.961000000000000298e+00,3.490453619329594859e-02,6.109217000846605891e-03
9.305999999999999162e+00,3.434882988797550302e-02,6.014667254294227619e-03
9.650999999999999801e+00,3.368438453188141168e-02,5.954790394845753919e-03
9.996000000000000441e+00,3.309832360678646029e-02,5.886123297046697185e-03
