# th,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,-2.031028898498655946e-03
1.020408163265306041e-02,4.812945361919942371e-04
2.040816326530612082e-02,2.971308663497361415e-03
3.061224489795918297e-02,5.436774834522086972e-03
4.081632653061224164e-02,7.875454400370815108e-03
5.102040816326530032e-02,1.028510871214818531e-02
6.122448979591836593e-02,1.266349912095884357e-02
7.142857142857142461e-02,1.500838697790742894e-02
8.163265306122448328e-02,1.731753363409858221e-02
9.183673469387754196e-02,1.958870044063694763e-02
1.020408163265306006e-01,2.181964874862716772e-02
1.122448979591836593e-01,2.400813990917388327e-02
1.224489795918367319e-01,2.615193527338174548e-02
1.326530612244897767e-01,2.824879619235537778e-02
1.428571428571428492e-01,3.029648401719944179e-02
1.530612244897958940e-01,3.229276009901856093e-02
1.632653061224489666e-01,3.423538578891739681e-02
1.734693877551020391e-01,3.612212243800057981e-02
1.836734693877550839e-01,3.795073139737274726e-02
1.938775510204081565e-01,3.971897401813855727e-02
2.040816326530612013e-01,4.142461165140264023e-02
2.142857142857142738e-01,4.306540564826964040e-02
2.244897959183673186e-01,4.463911735984420898e-02
2.346938775510203912e-01,4.614350813723096939e-02
2.448979591836734637e-01,4.757633933153458672e-02
2.551020408163265363e-01,4.893537229385968440e-02
2.653061224489795533e-01,5.021836837531089975e-02
2.755102040816326259e-01,5.142308892699290479e-02
2.857142857142856984e-01,5.254729530001030907e-02
2.959183673469387710e-01,5.358874884546777767e-02
3.061224489795917880e-01,5.454521091446993403e-02
3.163265306122448606e-01,5.541444285812144321e-02
3.265306122448979331e-01,5.619420602752692867e-02
3.367346938775510057e-01,5.688226177379104853e-02
3.469387755102040782e-01,5.747637144801841930e-02
3.571428571428570953e-01,5.797429640131369910e-02
3.673469387755101678e-01,5.837379798478152526e-02
3.775510204081632404e-01,5.867263754952656285e-02
3.877551020408163129e-01,5.886857644665342837e-02
3.979591836734693300e-01,5.895937602726676607e-02
4.081632653061224025e-01,5.894279764247122716e-02
4.183673469387754751e-01,5.881660264337144894e-02
4.285714285714285476e-01,5.857855238107206181e-02
4.387755102040816202e-01,5.822640820667774469e-02
4.489795918367346372e-01,5.775793147129310023e-02
4.591836734693877098e-01,5.717088352602280044e-02
4.693877551020407823e-01,5.646302572197145486e-02
4.795918367346938549e-01,5.563211941024374246e-02
4.897959183673469274e-01,5.467592594194426586e-02
5.000000000000000000e-01,5.359220666817770401e-02
