# time,us^2,95CLI,vs,th
9.996000000000000441e+00,2.295848527682764484e-02,6.059765530770101208e-04,1.000000000000000000e+00,1.000000000000000056e-01
9.996000000000000441e+00,2.247977289511658358e-02,4.707256602802644004e-04,1.000000000000000000e+00,1.499999999999999944e-01
9.996000000000000441e+00,2.266933784372575367e-02,3.839769191603574299e-04,1.000000000000000000e+00,2.000000000000000111e-01
9.996000000000000441e+00,2.250120376497645458e-02,3.259942520089400522e-04,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,2.303606471395647920e-02,2.849449005516217466e-04,1.000000000000000000e+00,2.999999999999999889e-01
9.996000000000000441e+00,2.256802395197735414e-02,2.448593745129992749e-04,1.000000000000000000e+00,3.499999999999999778e-01
9.996000000000000441e+00,2.259364439282922354e-02,2.162791220094782522e-04,1.000000000000000000e+00,3.930000000000000160e-01
9.996000000000000441e+00,2.246800510857239336e-02,2.123469664363526602e-04,1.000000000000000000e+00,4.000000000000000222e-01
9.996000000000000441e+00,2.258411458689484758e-02,1.818751092659281901e-04,1.000000000000000000e+00,4.500000000000000111e-01
9.996000000000000441e+00,2.256001435531342428e-02,1.593631262662719458e-04,1.000000000000000000e+00,5.000000000000000000e-01
