# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,5.667813419950181592e-02,8.958990934361633213e-03
6.899999999999999467e-01,5.500075577445652508e-02,7.530945936364059033e-03
1.034999999999999920e+00,5.661536458333334132e-02,6.963872585880583922e-03
1.379999999999999893e+00,5.550670254472373638e-02,6.478520080197394497e-03
1.721999999999999975e+00,5.521124600754936246e-02,6.081668909087568388e-03
2.067000000000000171e+00,5.495020582460238140e-02,5.696493368451225649e-03
2.411999999999999922e+00,5.477394521532960581e-02,5.408496362899977046e-03
2.757000000000000117e+00,5.454724630273508068e-02,5.108557780544573969e-03
3.101999999999999869e+00,5.461483306196103504e-02,4.852444686598710206e-03
3.447000000000000064e+00,5.493388456560958921e-02,4.684918808495185452e-03
3.791999999999999815e+00,5.435593958343635373e-02,4.486265226979845207e-03
4.136999999999999567e+00,5.455675965609515371e-02,4.362610915564235810e-03
4.482000000000000206e+00,5.460845993566278839e-02,4.191430552850377786e-03
4.826999999999999957e+00,5.404971197779093878e-02,4.055704448794752483e-03
5.168999999999999595e+00,5.359953007298619981e-02,3.912857618770301978e-03
5.514000000000000234e+00,5.298943660100993019e-02,3.764165858285185851e-03
5.858999999999999986e+00,5.283837648942865672e-02,3.653117234533161117e-03
6.203999999999999737e+00,5.280545250544003977e-02,3.537995870692076106e-03
6.549000000000000377e+00,5.267196752665005699e-02,3.468653339204461322e-03
6.894000000000000128e+00,5.285442026269446258e-02,3.416143511039003173e-03
7.238999999999999879e+00,5.299262606951063437e-02,3.375875541104444641e-03
7.583999999999999631e+00,5.277257895167870166e-02,3.316883547620092573e-03
7.929000000000000270e+00,5.265713729983486496e-02,3.273280440779528701e-03
8.273999999999999133e+00,5.253346547142215273e-02,3.246833865119798466e-03
8.615999999999999659e+00,5.279305925431247715e-02,3.222348085277023603e-03
8.961000000000000298e+00,5.298222802827007305e-02,3.189194465869132564e-03
9.305999999999999162e+00,5.310294223820653803e-02,3.141109147972838411e-03
9.650999999999999801e+00,5.341289712125039252e-02,3.086237876463913520e-03
9.996000000000000441e+00,5.361292375837053287e-02,3.038264453151806165e-03
