# th,average_velocity_axis_0_t_inf__params_4o0
0.000000000000000000e+00,-1.428811310832702776e-02
1.020408163265306041e-02,-2.346959622121685789e-03
2.040816326530612082e-02,9.319056833700520986e-03
3.061224489795918297e-02,2.070821906942882720e-02
4.081632653061224164e-02,3.181880989535245535e-02
5.102040816326530032e-02,4.264911212176064614e-02
6.122448979591836593e-02,5.319740855894262987e-02
7.142857142857142461e-02,6.346198201718764031e-02
8.163265306122448328e-02,7.344111530678489042e-02
9.183673469387754196e-02,8.313309123802364864e-02
1.020408163265306006e-01,9.253619262119314182e-02
1.122448979591836593e-01,1.016487022665825690e-01
1.224489795918367319e-01,1.104689029844811848e-01
1.326530612244897767e-01,1.189950775851782300e-01
1.428571428571428492e-01,1.272255088789629174e-01
1.530612244897958940e-01,1.351584796761244878e-01
1.632653061224489666e-01,1.427922727869521680e-01
1.734693877551020391e-01,1.501251710217352264e-01
1.836734693877550839e-01,1.571554571907628206e-01
1.938775510204081565e-01,1.638814141043243022e-01
2.040816326530612013e-01,1.703013245727087732e-01
2.142857142857142738e-01,1.764134714062055020e-01
2.244897959183673186e-01,1.822161374151037849e-01
2.346938775510203912e-01,1.877076054096928071e-01
2.448979591836734637e-01,1.928861582002617814e-01
2.551020408163265363e-01,1.977500785971000041e-01
2.653061224489795533e-01,2.022976494104966050e-01
2.755102040816326259e-01,2.065271534507409079e-01
2.857142857142856984e-01,2.104368735281220981e-01
2.959183673469387710e-01,2.140250924529294441e-01
3.061224489795917880e-01,2.172900930354521032e-01
3.163265306122448606e-01,2.202301580859794272e-01
3.265306122448979331e-01,2.228435704148005736e-01
3.367346938775510057e-01,2.251286128322047830e-01
3.469387755102040782e-01,2.270835681484812962e-01
3.571428571428570953e-01,2.287067191739193261e-01
3.673469387755101678e-01,2.299963487188081412e-01
3.775510204081632404e-01,2.309507395934369267e-01
3.877551020408163129e-01,2.315681746080949233e-01
3.979591836734693300e-01,2.318469365730713994e-01
4.081632653061224025e-01,2.317853082986556235e-01
4.183673469387754751e-01,2.313815725951366697e-01
4.285714285714285476e-01,2.306340122728038899e-01
4.387755102040816202e-01,2.295409101419465525e-01
4.489795918367346372e-01,2.281005490128537594e-01
4.591836734693877098e-01,2.263112116958148623e-01
4.693877551020407823e-01,2.241711810011190464e-01
4.795918367346938549e-01,2.216787397390554970e-01
4.897959183673469274e-01,2.188321707199135657e-01
5.000000000000000000e-01,2.156297567539824378e-01
