# time,average_velocity_axis_0_t_inf,95CLI,vs,th
9.996000000000000441e+00,9.122130908027273333e-02,4.006276929625548003e-03,4.000000000000000000e+00,1.000000000000000056e-01
9.996000000000000441e+00,1.330801028663418650e-01,4.259475277655506639e-03,4.000000000000000000e+00,1.499999999999999944e-01
9.996000000000000441e+00,1.644025657137855034e-01,4.264596235097270482e-03,4.000000000000000000e+00,2.000000000000000111e-01
9.996000000000000441e+00,1.975419768004857968e-01,4.274361078011537293e-03,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,2.167990241018282194e-01,4.117485491187772469e-03,4.000000000000000000e+00,2.999999999999999889e-01
9.996000000000000441e+00,2.275192045568227295e-01,3.837119185282722271e-03,4.000000000000000000e+00,3.499999999999999778e-01
9.996000000000000441e+00,2.324497232730982910e-01,3.621870002013670171e-03,4.000000000000000000e+00,3.930000000000000160e-01
9.996000000000000441e+00,2.305026716741383763e-01,3.545923395229629276e-03,4.000000000000000000e+00,4.000000000000000222e-01
9.996000000000000441e+00,2.267612050435408588e-01,3.242736631438912845e-03,4.000000000000000000e+00,4.500000000000000111e-01
9.996000000000000441e+00,2.164969302418232877e-01,3.081972545265136958e-03,4.000000000000000000e+00,5.000000000000000000e-01
