# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,2.247999143738677597e-01,1.115348321828010976e-02
6.899999999999999467e-01,2.236638636492300769e-01,9.358674918881714627e-03
1.034999999999999920e+00,2.253318925498188630e-01,8.365957396382739386e-03
1.379999999999999893e+00,2.254083128113677781e-01,7.608164143984249596e-03
1.721999999999999975e+00,2.258236768769054936e-01,7.044323806044352695e-03
2.067000000000000171e+00,2.268655554075199587e-01,6.607189451089449071e-03
2.411999999999999922e+00,2.275477457884730048e-01,6.251029170125458820e-03
2.757000000000000117e+00,2.284948562218047097e-01,5.875701899232038325e-03
3.101999999999999869e+00,2.288797558625231821e-01,5.546785819930741615e-03
3.447000000000000064e+00,2.280785867919567500e-01,5.320711553105592247e-03
3.791999999999999815e+00,2.272866237334561501e-01,5.086392799350501065e-03
4.136999999999999567e+00,2.270322870517774150e-01,4.907892400012462894e-03
4.482000000000000206e+00,2.271887235901069446e-01,4.718467662680484766e-03
4.826999999999999957e+00,2.273254558404385617e-01,4.558514417820656167e-03
5.168999999999999595e+00,2.270606130938346290e-01,4.401025766053150851e-03
5.514000000000000234e+00,2.276165988881993507e-01,4.259125096122085875e-03
5.858999999999999986e+00,2.281347535825626327e-01,4.112901192519945702e-03
6.203999999999999737e+00,2.277027032238525539e-01,3.980417384398669996e-03
6.549000000000000377e+00,2.277513984124484581e-01,3.893300715480451941e-03
6.894000000000000128e+00,2.281749817549680870e-01,3.829126439626712175e-03
7.238999999999999879e+00,2.282130471798806681e-01,3.739271364889544969e-03
7.583999999999999631e+00,2.278490400998401388e-01,3.659065713249404824e-03
7.929000000000000270e+00,2.271130514271187950e-01,3.603909871835581785e-03
8.273999999999999133e+00,2.273509471617605193e-01,3.544903695374330456e-03
8.615999999999999659e+00,2.271414463677224882e-01,3.484249480992040061e-03
8.961000000000000298e+00,2.271867941690467740e-01,3.426525215825806155e-03
9.305999999999999162e+00,2.272650378661952297e-01,3.366207598963448684e-03
9.650999999999999801e+00,2.270239393151049778e-01,3.299527615066574077e-03
9.996000000000000441e+00,2.267612050435408588e-01,3.242736631438912845e-03
