# th,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,-7.827008178732591109e-03
1.020408163265306041e-02,-3.100162441318724243e-03
2.040816326530612082e-02,1.509748414523145836e-03
3.061224489795918297e-02,6.002936403363976284e-03
4.081632653061224164e-02,1.037961353977472599e-02
5.102040816326530032e-02,1.463999183832634908e-02
6.122448979591836593e-02,1.878428331358981268e-02
7.142857142857142461e-02,2.281269998013606484e-02
8.163265306122448328e-02,2.672545385253606576e-02
9.183673469387754196e-02,3.052275694536077041e-02
1.020408163265306006e-01,3.420482127318114768e-02
1.122448979591836593e-01,3.777185885056814213e-02
1.224489795918367319e-01,4.122408169209271916e-02
1.326530612244897767e-01,4.456170181232583377e-02
1.428571428571428492e-01,4.778493122583844788e-02
1.530612244897958940e-01,5.089398194720150953e-02
1.632653061224489666e-01,5.388906599098600148e-02
1.734693877551020391e-01,5.677039537176284401e-02
1.836734693877550839e-01,5.953818210410300599e-02
1.938775510204081565e-01,6.219263820257747710e-02
2.040816326530612013e-01,6.473397568175716377e-02
2.142857142857142738e-01,6.716240655621308342e-02
2.244897959183673186e-01,6.947814284051613554e-02
2.346938775510203912e-01,7.168139654923730286e-02
2.448979591836734637e-01,7.377237969694758202e-02
2.551020408163265363e-01,7.575130429821784472e-02
2.653061224489795533e-01,7.761838236761912924e-02
2.755102040816326259e-01,7.937382591972236279e-02
2.857142857142856984e-01,8.101784696909848649e-02
2.959183673469387710e-01,8.255065753031846920e-02
3.061224489795917880e-01,8.397246961795326592e-02
3.163265306122448606e-01,8.528349524657385938e-02
3.265306122448979331e-01,8.648394643075119070e-02
3.367346938775510057e-01,8.757403518505620099e-02
3.469387755102040782e-01,8.855397352405987299e-02
3.571428571428570953e-01,8.942397346233312005e-02
3.673469387755101678e-01,9.018424701444696656e-02
3.775510204081632404e-01,9.083500619497236750e-02
3.877551020408163129e-01,9.137646301848020847e-02
3.979591836734693300e-01,9.180882949954147221e-02
4.081632653061224025e-01,9.213231765272716922e-02
4.183673469387754751e-01,9.234713949260821286e-02
4.285714285714285476e-01,9.245350703375557200e-02
4.387755102040816202e-01,9.245163229074021549e-02
4.489795918367346372e-01,9.234172727813305670e-02
4.591836734693877098e-01,9.212400401050509224e-02
4.693877551020407823e-01,9.179867450242726323e-02
4.795918367346938549e-01,9.136595076847058017e-02
4.897959183673469274e-01,9.082604482320592865e-02
5.000000000000000000e-01,9.017916868120429141e-02
