# time,average_velocity_axis_0_t_inf,95CLI,vs,th
9.996000000000000441e+00,3.365203996637717437e-02,3.086364094474975013e-03,1.000000000000000000e+00,1.000000000000000056e-01
9.996000000000000441e+00,4.962166707503313373e-02,3.100470277863081204e-03,1.000000000000000000e+00,1.499999999999999944e-01
9.996000000000000441e+00,6.386369941042822906e-02,3.086424018263765005e-03,1.000000000000000000e+00,2.000000000000000111e-01
9.996000000000000441e+00,7.463422671314619283e-02,3.063428790555669089e-03,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,8.333884178671469023e-02,2.992556325296349701e-03,1.000000000000000000e+00,2.999999999999999889e-01
9.996000000000000441e+00,8.929285913584183998e-02,3.058752699459496918e-03,1.000000000000000000e+00,3.499999999999999778e-01
9.996000000000000441e+00,9.176492564799355878e-02,2.952401672256332963e-03,1.000000000000000000e+00,3.930000000000000160e-01
9.996000000000000441e+00,9.098498886859431034e-02,2.983139584016116386e-03,1.000000000000000000e+00,4.000000000000000222e-01
9.996000000000000441e+00,9.254653973405768674e-02,3.022546490901349605e-03,1.000000000000000000e+00,4.500000000000000111e-01
9.996000000000000441e+00,9.021562120942126783e-02,3.011381925918052340e-03,1.000000000000000000e+00,5.000000000000000000e-01
