# time,us^2,95CLI,vs,th
9.996000000000000441e+00,1.910090402463052173e-02,5.581282424309186221e-04,1.000000000000000000e+00,1.000000000000000056e-01
9.996000000000000441e+00,1.845304076778261568e-02,4.247806282294845832e-04,1.000000000000000000e+00,1.499999999999999944e-01
9.996000000000000441e+00,1.840904891928752535e-02,3.503841310791675108e-04,1.000000000000000000e+00,2.000000000000000111e-01
9.996000000000000441e+00,1.920154206484606801e-02,3.057176242270516681e-04,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.974674063868710194e-02,2.677043978507145146e-04,1.000000000000000000e+00,2.999999999999999889e-01
9.996000000000000441e+00,2.011882112604222381e-02,2.328379625319971472e-04,1.000000000000000000e+00,3.499999999999999778e-01
9.996000000000000441e+00,2.036721289922728897e-02,2.061326843246848476e-04,1.000000000000000000e+00,3.930000000000000160e-01
9.996000000000000441e+00,2.050825381709718565e-02,2.056325297431876560e-04,1.000000000000000000e+00,4.000000000000000222e-01
9.996000000000000441e+00,2.106747879771207060e-02,1.842379716402850129e-04,1.000000000000000000e+00,4.500000000000000111e-01
9.996000000000000441e+00,2.135744677986689544e-02,1.573926861638513645e-04,1.000000000000000000e+00,5.000000000000000000e-01
