# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,5.652305748980979150e-02,8.855188264339897142e-03
6.899999999999999467e-01,6.419744359997735239e-02,7.605352752483211277e-03
1.034999999999999920e+00,6.798604364809783529e-02,7.163254184300032676e-03
1.379999999999999893e+00,7.014506517493207527e-02,6.598717520094310104e-03
1.721999999999999975e+00,7.160783487246842605e-02,6.082315098694560801e-03
2.067000000000000171e+00,7.261413662803882507e-02,5.657047090598847985e-03
2.411999999999999922e+00,7.481664441869428916e-02,5.371012464178128755e-03
2.757000000000000117e+00,7.607368521816625095e-02,5.068247053630835566e-03
3.101999999999999869e+00,7.669131503175874442e-02,4.804573521883905365e-03
3.447000000000000064e+00,7.789120528550641520e-02,4.622247200226383551e-03
3.791999999999999815e+00,7.809435127354875938e-02,4.452433725389988960e-03
4.136999999999999567e+00,7.890761463809826959e-02,4.329170272314994579e-03
4.482000000000000206e+00,7.900895868630772312e-02,4.150001987251507492e-03
4.826999999999999957e+00,7.894279214129182320e-02,4.018260198979440624e-03
5.168999999999999595e+00,7.895273184338122419e-02,3.894579742645867121e-03
5.514000000000000234e+00,7.873570329502174725e-02,3.763784260597760004e-03
5.858999999999999986e+00,7.855024554904847800e-02,3.641660198521344885e-03
6.203999999999999737e+00,7.840624582867404546e-02,3.528907374832754643e-03
6.549000000000000377e+00,7.924103565131603022e-02,3.469998995657532295e-03
6.894000000000000128e+00,8.024904588965495189e-02,3.433900949281592715e-03
7.238999999999999879e+00,8.144353700846759803e-02,3.387137988619429510e-03
7.583999999999999631e+00,8.214107873972961715e-02,3.317523837235661181e-03
7.929000000000000270e+00,8.234150183710509108e-02,3.265815040294238469e-03
8.273999999999999133e+00,8.265969095467542993e-02,3.217718482638143480e-03
8.615999999999999659e+00,8.295462410164411438e-02,3.178391964802189558e-03
8.961000000000000298e+00,8.333646275243938861e-02,3.145052893959152541e-03
9.305999999999999162e+00,8.346188916571803396e-02,3.090909398982287070e-03
9.650999999999999801e+00,8.331686617339686962e-02,3.041220048114427667e-03
9.996000000000000441e+00,8.333884178671469023e-02,2.992556325296349701e-03
