# time,average_velocity_axis_0_t_inf,95CLI,vs,th
9.996000000000000441e+00,4.642038026147959212e-02,1.271459400844224784e-02,4.000000000000000000e+00,1.000000000000000056e-01
9.996000000000000441e+00,8.247071250375151430e-02,1.180436895843639013e-02,4.000000000000000000e+00,1.499999999999999944e-01
9.996000000000000441e+00,1.170147445697028721e-01,1.193224545223223014e-02,4.000000000000000000e+00,2.000000000000000111e-01
9.996000000000000441e+00,1.438552757040316155e-01,1.267512260863532664e-02,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.607985756802720601e-01,1.192728089007760034e-02,4.000000000000000000e+00,2.999999999999999889e-01
9.996000000000000441e+00,1.741498396233493451e-01,1.132151045634512479e-02,4.000000000000000000e+00,3.499999999999999778e-01
9.996000000000000441e+00,1.923767335059023420e-01,1.148290344093860944e-02,4.000000000000000000e+00,3.930000000000000160e-01
9.996000000000000441e+00,1.968807311987295083e-01,1.105824070492455145e-02,4.000000000000000000e+00,4.000000000000000222e-01
9.996000000000000441e+00,1.974205565038515409e-01,1.141837595011751041e-02,4.000000000000000000e+00,4.500000000000000111e-01
9.996000000000000441e+00,1.972593127094587895e-01,1.096876355641926426e-02,4.000000000000000000e+00,5.000000000000000000e-01
