# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.500222712862318564e-01,4.305585995909576302e-02
6.899999999999999467e-01,1.486290307971014912e-01,3.640108626565079220e-02
1.034999999999999920e+00,1.438869640700483343e-01,3.231027482860973632e-02
1.379999999999999893e+00,1.509673714900362507e-01,2.831889957053738277e-02
1.721999999999999975e+00,1.541549819432346258e-01,2.550740195884770162e-02
2.067000000000000171e+00,1.542751345549104869e-01,2.327035553562288236e-02
2.411999999999999922e+00,1.562242012593283713e-01,2.208367744518231410e-02
2.757000000000000117e+00,1.556432872574355919e-01,2.069961404218392809e-02
3.101999999999999869e+00,1.566136388821727787e-01,1.986464661756656355e-02
3.447000000000000064e+00,1.586411032238178032e-01,1.899732707302935128e-02
3.791999999999999815e+00,1.584082010647415717e-01,1.810857228149470241e-02
4.136999999999999567e+00,1.608555924431955553e-01,1.732045013115347462e-02
4.482000000000000206e+00,1.619375287608768588e-01,1.630506646049515937e-02
4.826999999999999957e+00,1.609985263556557022e-01,1.544347437196217331e-02
5.168999999999999595e+00,1.591427863223060513e-01,1.483940814538669585e-02
5.514000000000000234e+00,1.583735916530649157e-01,1.446996591026196606e-02
5.858999999999999986e+00,1.606851531831370583e-01,1.416838201917225946e-02
6.203999999999999737e+00,1.629255533224532593e-01,1.394385173384827224e-02
6.549000000000000377e+00,1.648173182451518892e-01,1.394087279145887065e-02
6.894000000000000128e+00,1.689136579362489343e-01,1.375624656476408768e-02
7.238999999999999879e+00,1.725282691842796035e-01,1.334024835170702014e-02
7.583999999999999631e+00,1.724680747502966849e-01,1.288486825840376958e-02
7.929000000000000270e+00,1.726343283949741403e-01,1.245161282763199151e-02
8.273999999999999133e+00,1.731730982407239661e-01,1.218068943625421133e-02
8.615999999999999659e+00,1.729768839404886294e-01,1.200801595829048378e-02
8.961000000000000298e+00,1.740026093976676513e-01,1.192225512654262500e-02
9.305999999999999162e+00,1.737791885779336187e-01,1.172424927933607766e-02
9.650999999999999801e+00,1.733477780799917156e-01,1.145565813399591557e-02
9.996000000000000441e+00,1.741498396233493451e-01,1.132151045634512479e-02
