# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst
9.996000000000000441e+00,2.157685376885128958e-01,6.171407117407709704e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.905294738989345760e-01,6.096948112641979549e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,3.144091421724939384e-01,5.744904958543571236e-03,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.307123272160426564e-01,5.420474492266625678e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.275369638089610791e-01,5.531367620885505910e-03,1.000000000000000000e+00,2.500000000000000000e+00
9.996000000000000441e+00,3.170955737763855309e-01,5.768581826607435334e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.812557332503313745e-01,5.942737497185660717e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.069026600874724897e-01,6.182221510746058191e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.402694751728816303e-01,6.292040975993663104e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,8.533556176376799751e-02,6.291211674433107130e-03,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,5.215303826608769233e-02,6.352117137890648559e-03,1.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,3.422222385047769128e-02,5.988633818641198384e-03,1.000000000000000000e+00,9.000000000000000000e+00
9.996000000000000441e+00,3.772533085499824718e-02,6.627271555502160447e-03,1.000000000000000000e+00,1.000000000000000000e+01
9.996000000000000441e+00,5.243752168836283978e-02,6.157118789954936153e-03,1.000000000000000000e+00,1.100000000000000000e+01
9.996000000000000441e+00,5.956409858865420459e-02,6.200543002038014923e-03,1.000000000000000000e+00,1.200000000000000000e+01
9.996000000000000441e+00,7.710791338019581942e-02,6.249601992967540251e-03,1.000000000000000000e+00,1.300000000000000000e+01
9.996000000000000441e+00,9.086947894392130576e-02,6.420793960670576235e-03,1.000000000000000000e+00,1.400000000000000000e+01
9.996000000000000441e+00,9.871952736172592835e-02,6.290829920207724642e-03,1.000000000000000000e+00,1.500000000000000000e+01
9.996000000000000441e+00,1.051875848972401439e-01,6.143134279101781364e-03,1.000000000000000000e+00,1.600000000000000000e+01
