# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,4.412460371376812629e-02,1.813236325518920167e-02
6.899999999999999467e-01,3.993922101449275119e-02,1.535314881143540026e-02
1.034999999999999920e+00,4.487424611262078034e-02,1.447923638771902305e-02
1.379999999999999893e+00,4.935492456408514805e-02,1.313538089910928561e-02
1.721999999999999975e+00,5.118343892911586535e-02,1.213595349873736011e-02
2.067000000000000171e+00,4.818372698203918225e-02,1.154755575241966578e-02
2.411999999999999922e+00,4.770485625259121565e-02,1.111788225739394030e-02
2.757000000000000117e+00,4.833446504069187355e-02,1.051441002609093331e-02
3.101999999999999869e+00,4.849310739543037652e-02,1.001059681841621161e-02
3.447000000000000064e+00,4.794886914799100647e-02,9.660724401296642491e-03
3.791999999999999815e+00,4.682256565013515753e-02,9.366021388364845907e-03
4.136999999999999567e+00,4.659093621585690126e-02,9.009257988630834865e-03
4.482000000000000206e+00,4.353884439668396361e-02,8.666856879787677298e-03
4.826999999999999957e+00,4.205244668660659130e-02,8.431302658265280719e-03
5.168999999999999595e+00,4.219764272284291101e-02,8.103901662320091293e-03
5.514000000000000234e+00,4.185347170271128125e-02,7.806910893004737236e-03
5.858999999999999986e+00,4.162116392115761815e-02,7.587259605091701414e-03
6.203999999999999737e+00,4.200230084043560241e-02,7.323224839076460796e-03
6.549000000000000377e+00,4.404103754509276075e-02,7.206510067084825714e-03
6.894000000000000128e+00,4.520671479502103018e-02,7.130191532712878283e-03
7.238999999999999879e+00,4.649079921367765128e-02,7.011912141448113124e-03
7.583999999999999631e+00,4.653885660292227111e-02,6.901709803569089537e-03
7.929000000000000270e+00,4.809833056954691821e-02,6.812185461566522965e-03
8.273999999999999133e+00,5.029618618941866098e-02,6.760299691798976607e-03
8.615999999999999659e+00,5.169562056602541866e-02,6.674573235109425469e-03
8.961000000000000298e+00,5.168666859777787392e-02,6.608709062106040734e-03
9.305999999999999162e+00,5.164835323396867878e-02,6.505306675630466266e-03
9.650999999999999801e+00,5.164462646762640885e-02,6.408711382993371487e-03
9.996000000000000441e+00,5.215303826608769233e-02,6.352117137890648559e-03
