# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,-8.807696727807971804e-02,1.986094824864753292e-02
6.899999999999999467e-01,-5.756262879302536523e-02,1.764901700654458727e-02
1.034999999999999920e+00,-4.320513851147343709e-02,1.629470881317195141e-02
1.379999999999999893e+00,-2.880465140964674070e-02,1.482780876808368828e-02
1.721999999999999975e+00,-2.229455495517566888e-02,1.373647836189454720e-02
2.067000000000000171e+00,-1.482677850598693517e-02,1.269358297055895105e-02
2.411999999999999922e+00,-8.909110453591415762e-03,1.223023309902403037e-02
2.757000000000000117e+00,-9.348646626768226248e-03,1.146575805549019701e-02
3.101999999999999869e+00,-9.440271019705032823e-03,1.085332867602313046e-02
3.447000000000000064e+00,-7.601178901037133895e-03,1.064528142385404684e-02
3.791999999999999815e+00,-5.087288256938950724e-03,1.019438017490513840e-02
4.136999999999999567e+00,-4.359843806653371234e-03,9.906134748487178954e-03
4.482000000000000206e+00,-7.176269531249999598e-03,9.547075546160965764e-03
4.826999999999999957e+00,-9.449439877576652422e-03,9.147043946177779022e-03
5.168999999999999595e+00,-9.239596558207587018e-03,8.840844757099111315e-03
5.514000000000000234e+00,-8.900467666111262083e-03,8.577826045808019037e-03
5.858999999999999986e+00,-1.020203593029954045e-02,8.338448783017111260e-03
6.203999999999999737e+00,-1.110568251077933763e-02,8.085078140123585361e-03
6.549000000000000377e+00,-1.097406331119254660e-02,7.988752464568878164e-03
6.894000000000000128e+00,-1.140919229470372873e-02,7.907972431907429184e-03
7.238999999999999879e+00,-1.187847334641352337e-02,7.774606523956222905e-03
7.583999999999999631e+00,-1.186670153654074446e-02,7.645837313874511397e-03
7.929000000000000270e+00,-1.093917083451570113e-02,7.489051826319809493e-03
8.273999999999999133e+00,-8.413661087253746992e-03,7.379386446830509157e-03
8.615999999999999659e+00,-7.066385054876103342e-03,7.303702459926307566e-03
8.961000000000000298e+00,-7.825543065087602751e-03,7.199054268113560737e-03
9.305999999999999162e+00,-7.637028110224586969e-03,7.078500465086811667e-03
9.650999999999999801e+00,-7.345496904465858082e-03,6.960103641141023555e-03
9.996000000000000441e+00,-7.316287452480992222e-03,6.849321472614213618e-03
