# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,2.189564000226449370e-01,1.727677995768642227e-02
6.899999999999999467e-01,2.289973717730978131e-01,1.477989521264647457e-02
1.034999999999999920e+00,2.380377858922101686e-01,1.379544244039490608e-02
1.379999999999999893e+00,2.386038220391757392e-01,1.245248415991589454e-02
1.721999999999999975e+00,2.407796257984901600e-01,1.161971155218936499e-02
2.067000000000000171e+00,2.398736053156748649e-01,1.091857940932381907e-02
2.411999999999999922e+00,2.449283829874067120e-01,1.038981906472635254e-02
2.757000000000000117e+00,2.488074071397805287e-01,9.868207365838222930e-03
3.101999999999999869e+00,2.508176670922993567e-01,9.470760244121072258e-03
3.447000000000000064e+00,2.539360760942486195e-01,9.230389408105346694e-03
3.791999999999999815e+00,2.561130842377867811e-01,8.895450456731615260e-03
4.136999999999999567e+00,2.582222511783901497e-01,8.640062249039504733e-03
4.482000000000000206e+00,2.591013788225819958e-01,8.297787104382541717e-03
4.826999999999999957e+00,2.604650428255127492e-01,8.023782957824691225e-03
5.168999999999999595e+00,2.600968750377853911e-01,7.741326978117736742e-03
5.514000000000000234e+00,2.610553365935006087e-01,7.493345477919776017e-03
5.858999999999999986e+00,2.623992512187446335e-01,7.295671479275068518e-03
6.203999999999999737e+00,2.616044880948782958e-01,7.073581429953005283e-03
6.549000000000000377e+00,2.613384472760631461e-01,6.920199685211986251e-03
6.894000000000000128e+00,2.628122968682006233e-01,6.827602260661094595e-03
7.238999999999999879e+00,2.634350183252175959e-01,6.703912510659299807e-03
7.583999999999999631e+00,2.625260657459371760e-01,6.556390650548171370e-03
7.929000000000000270e+00,2.618728025188390429e-01,6.418147558525338740e-03
8.273999999999999133e+00,2.622816592025849491e-01,6.344598256892116858e-03
8.615999999999999659e+00,2.627872778025620581e-01,6.324076270610689762e-03
8.961000000000000298e+00,2.633216779002413022e-01,6.252022091828662170e-03
9.305999999999999162e+00,2.634254392537409006e-01,6.114590682130616357e-03
9.650999999999999801e+00,2.625856027710858909e-01,5.973869880868872342e-03
9.996000000000000441e+00,2.628007087600665592e-01,5.852712970570480254e-03
