# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,7.274759963768115401e-02,1.825632246740258383e-02
6.899999999999999467e-01,6.633978006114131520e-02,1.507141777576902555e-02
1.034999999999999920e+00,7.222059367451691414e-02,1.426809664068496783e-02
1.379999999999999893e+00,7.174255406476448549e-02,1.277369597954951079e-02
1.721999999999999975e+00,7.116281769472271312e-02,1.175031844292998180e-02
2.067000000000000171e+00,6.662835300631952951e-02,1.102736127450397625e-02
2.411999999999999922e+00,6.923570704420606292e-02,1.058171073193945461e-02
2.757000000000000117e+00,7.049798984686705960e-02,1.022619401234792745e-02
3.101999999999999869e+00,6.919585335569793105e-02,9.822764933365717502e-03
3.447000000000000064e+00,6.969305481895488041e-02,9.445001813859765782e-03
3.791999999999999815e+00,7.172805026412512608e-02,9.006363471961761208e-03
4.136999999999999567e+00,7.390218795322699152e-02,8.753065425114052445e-03
4.482000000000000206e+00,7.304502798520470797e-02,8.424861134146022917e-03
4.826999999999999957e+00,7.217944229723430305e-02,8.192633876109751967e-03
5.168999999999999595e+00,7.205951212305330977e-02,7.891119450435158181e-03
5.514000000000000234e+00,7.177888563486126139e-02,7.684800601418744111e-03
5.858999999999999986e+00,7.098669381507083376e-02,7.502689946308396980e-03
6.203999999999999737e+00,7.173397628420172256e-02,7.312836941032392277e-03
6.549000000000000377e+00,7.142298174101006925e-02,7.190788057221154071e-03
6.894000000000000128e+00,7.114716289753772460e-02,7.103656401944602461e-03
7.238999999999999879e+00,7.145982036861962816e-02,6.958446624805303057e-03
7.583999999999999631e+00,7.173695457233154882e-02,6.846497343861336106e-03
7.929000000000000270e+00,7.308834903912851677e-02,6.783049361655925889e-03
8.273999999999999133e+00,7.444346453782180184e-02,6.704382915440918432e-03
8.615999999999999659e+00,7.567786902637535507e-02,6.621999321751287880e-03
8.961000000000000298e+00,7.640344324102359141e-02,6.531389353719856648e-03
9.305999999999999162e+00,7.683483364647136771e-02,6.426626035593647340e-03
9.650999999999999801e+00,7.698671273945056903e-02,6.348571350266857954e-03
9.996000000000000441e+00,7.710791338019581942e-02,6.249601992967540251e-03
