# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.567917600769927755e-01,1.708897863505392384e-02
6.899999999999999467e-01,1.831358709805253615e-01,1.485477342074179724e-02
1.034999999999999920e+00,1.987834069293478167e-01,1.422609998275366563e-02
1.379999999999999893e+00,2.077092087013134303e-01,1.296316044044515392e-02
1.721999999999999975e+00,2.150400203478876338e-01,1.173469488179426819e-02
2.067000000000000171e+00,2.184252280063195273e-01,1.082172990904482594e-02
2.411999999999999922e+00,2.247423644310997115e-01,1.033216467672888259e-02
2.757000000000000117e+00,2.284819305829479397e-01,9.569029811678664982e-03
3.101999999999999869e+00,2.288959945196647472e-01,8.959072562350515329e-03
3.447000000000000064e+00,2.336740343731868175e-01,8.539301125646469801e-03
3.791999999999999815e+00,2.353806046755504977e-01,8.241291105822463187e-03
4.136999999999999567e+00,2.366735821549432184e-01,7.992574439050487492e-03
4.482000000000000206e+00,2.359590434219517030e-01,7.681530001813187403e-03
4.826999999999999957e+00,2.364251595436477060e-01,7.454895782224344770e-03
5.168999999999999595e+00,2.364107621381674740e-01,7.188226550566249526e-03
5.514000000000000234e+00,2.357847760034117446e-01,6.969684900750784153e-03
5.858999999999999986e+00,2.357940014827615560e-01,6.847772223163673538e-03
6.203999999999999737e+00,2.350775192919890566e-01,6.628063476865654613e-03
6.549000000000000377e+00,2.370676051448694643e-01,6.494606831052791678e-03
6.894000000000000128e+00,2.409765753905116492e-01,6.405368454923929949e-03
7.238999999999999879e+00,2.435486774383979203e-01,6.337247059072961645e-03
7.583999999999999631e+00,2.432838035615687566e-01,6.242008334992390009e-03
7.929000000000000270e+00,2.426275597046837484e-01,6.142643871157103634e-03
8.273999999999999133e+00,2.430905987742099095e-01,6.063019957763885782e-03
8.615999999999999659e+00,2.434745046461525009e-01,6.012841424065880173e-03
8.961000000000000298e+00,2.438676805218446542e-01,5.986562368734731944e-03
9.305999999999999162e+00,2.439379940528960122e-01,5.878044362543357118e-03
9.650999999999999801e+00,2.444704953866503605e-01,5.731603185306525378e-03
9.996000000000000441e+00,2.458196320520395495e-01,5.611350853465186736e-03
