# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
-1.132031250000000000e+01,5.418988534759915619e-04,2.700037674610317445e-03,3.325638970040338104e-03,3.168135167007015730e-03,7.076328408159457623e-04,3.371140053204711370e-03,2.523720243405584446e-03,2.699672379083835252e-03,8.820112089265588155e-04
-1.096093750000000000e+01,7.516104985865841234e-04,3.228719529896063780e-03,3.880866110929716978e-03,3.560201091106828062e-03,8.437899263049016604e-04,4.097362934401496508e-03,3.024868518086357670e-03,3.121705756423687802e-03,1.023155697315890778e-03
-1.060156250000000000e+01,1.019166718063692443e-03,3.786866348419756431e-03,4.416144527669817015e-03,4.182132692847844932e-03,1.204571081348435784e-03,4.736630431397948100e-03,3.646277826764395946e-03,3.755097330124911124e-03,1.337499782682610586e-03
-1.024218750000000000e+01,1.260645647290197045e-03,4.510473567286639625e-03,5.413319695785194854e-03,4.974754899804806688e-03,1.491066158741845499e-03,5.656719803864796933e-03,4.345063374317448268e-03,4.421125487505493147e-03,1.765291543057885115e-03
-9.882812500000000000e+00,1.648995396343800549e-03,5.282733699528065208e-03,6.319546143933014483e-03,5.874296483636401965e-03,1.903999206585442949e-03,6.758753927301269782e-03,5.040157229938347846e-03,5.230264780603293903e-03,2.160345276924110526e-03
-9.523437500000000000e+00,2.123881162902966063e-03,6.132312451138654218e-03,7.382427016866422755e-03,6.994184200494303096e-03,2.418762969661161777e-03,7.762820921334515761e-03,6.023418049357590932e-03,6.172136434757830373e-03,2.627410009646718048e-03
-9.164062500000000000e+00,2.716289750302424127e-03,7.305578779862031795e-03,8.456820256075352205e-03,7.991548393619483590e-03,2.978666205138952305e-03,8.953983617417617460e-03,7.118042225556552374e-03,7.371992722442505946e-03,3.250856100199095867e-03
-8.804687500000000000e+00,3.452203752059284682e-03,8.448444862095125588e-03,9.768156040192656556e-03,9.557507902970416996e-03,3.718827886628369318e-03,1.030246758816925380e-02,8.287116890951302939e-03,8.648488746551042522e-03,4.118680236007199458e-03
-8.445312500000000000e+00,4.326724331701578205e-03,9.840554454193517486e-03,1.121662143090665885e-02,1.113432098351006296e-02,4.622901887968754522e-03,1.215267784925371311e-02,9.864676715152682906e-03,9.997345803151175270e-03,4.882660602550123116e-03
-8.085937500000000000e+00,5.406754338657204437e-03,1.139781069556216817e-02,1.306775549558428229e-02,1.276678677159075181e-02,5.773268905821225122e-03,1.409881744890683491e-02,1.139673437511406345e-02,1.178930267125194616e-02,5.979379638643621438e-03
-7.726562500000000000e+00,6.752776655506507845e-03,1.329750120699092417e-02,1.508049759770669664e-02,1.471892491014112000e-02,7.256774500468677475e-03,1.627780536869076131e-02,1.340843891944602621e-02,1.356910453860308251e-02,7.296214132915029328e-03
-7.367187500000000000e+00,8.174831145231315280e-03,1.599840833136172841e-02,1.745549079673749601e-02,1.715616364128799351e-02,8.891855908860506544e-03,1.862723257938918991e-02,1.578789037435916753e-02,1.584054921807487998e-02,9.067396359441122836e-03
-7.007812500000000000e+00,1.024356648442797252e-02,1.848353483882734030e-02,2.013562827497950014e-02,1.970224826446881003e-02,1.071483776523861689e-02,2.117109334722313760e-02,1.826424975540838144e-02,1.857988388881513103e-02,1.096850183176472857e-02
-6.648437500000000000e+00,1.251073959159680962e-02,2.150634672871224937e-02,2.316730187765853391e-02,2.281463032107600153e-02,1.290409361018026238e-02,2.418107175306912285e-02,2.124340789438154686e-02,2.143536735043263808e-02,1.335260982053697483e-02
-6.289062500000000000e+00,1.539318098086493204e-02,2.500183798524718143e-02,2.600119462650849617e-02,2.616162068757688086e-02,1.558438081350467692e-02,2.752712268327643305e-02,2.436843799962042784e-02,2.463071119796799227e-02,1.617433537675648514e-02
