# value,p_w
8.984375000000000000e-02,6.231586831976049744e-05
2.695312500000000000e-01,4.870597599627106270e-04
4.492187500000000000e-01,1.315203135966791460e-03
6.289062500000000000e-01,2.517923620000555272e-03
8.085937500000000000e-01,4.379999131310865698e-03
9.882812500000000000e-01,6.512591349326236206e-03
1.167968750000000000e+00,8.744412716359501250e-03
1.347656250000000000e+00,1.156019437310103898e-02
1.527343750000000000e+00,1.529485261643710389e-02
1.707031250000000000e+00,1.827086497722092001e-02
1.886718750000000000e+00,2.193074075400873457e-02
2.066406250000000000e+00,2.599959306945456156e-02
2.246093750000000000e+00,2.994598872100687204e-02
2.425781250000000000e+00,3.452279586012731161e-02
2.605468750000000000e+00,3.844326891334474972e-02
2.785156250000000000e+00,4.349385086907076037e-02
2.964843750000000000e+00,4.830172124794892413e-02
3.144531250000000000e+00,5.316912644708273600e-02
3.324218750000000000e+00,5.732462964751087325e-02
3.503906250000000000e+00,6.251866441358229498e-02
3.683593750000000000e+00,6.709237967923087353e-02
3.863281250000000000e+00,7.201095428700453327e-02
4.042968750000000000e+00,7.709579085180155722e-02
4.222656250000000000e+00,8.108207819189224008e-02
4.402343750000000000e+00,8.613461054923116089e-02
4.582031250000000000e+00,8.969524622338037600e-02
4.761718750000000000e+00,9.353947747414580183e-02
4.941406250000000000e+00,9.773296731399538917e-02
5.121093750000000000e+00,1.017509368087223809e-01
5.300781250000000000e+00,1.047871104074198784e-01
5.480468750000000000e+00,1.077832381132613759e-01
5.660156250000000000e+00,1.119603153206422813e-01
5.839843750000000000e+00,1.161879407380575213e-01
6.019531250000000000e+00,1.182696151182433958e-01
6.199218750000000000e+00,1.225888269535021086e-01
6.378906250000000000e+00,1.236116031222450479e-01
6.558593750000000000e+00,1.258249235488163309e-01
6.738281250000000000e+00,1.266156467022804544e-01
6.917968750000000000e+00,1.284467251491230588e-01
7.097656250000000000e+00,1.296883236960561236e-01
7.277343750000000000e+00,1.307119780584503066e-01
7.457031250000000000e+00,1.320334575089091023e-01
7.636718750000000000e+00,1.323644016567762371e-01
7.816406250000000000e+00,1.332113301372064018e-01
7.996093750000000000e+00,1.325539966117470769e-01
8.175781250000000000e+00,1.337619556911437968e-01
8.355468750000000000e+00,1.328605522634180858e-01
8.535156250000000000e+00,1.317277675972378936e-01
8.714843750000000000e+00,1.313651304514253104e-01
8.894531250000000000e+00,1.313935465051351836e-01
9.074218750000000000e+00,1.304260089739605055e-01
9.253906250000000000e+00,1.286506311195339813e-01
9.433593750000000000e+00,1.276036151074214919e-01
9.613281250000000000e+00,1.263917992092986331e-01
9.792968750000000000e+00,1.238219031196110959e-01
9.972656250000000000e+00,1.236171127810535841e-01
1.015234375000000000e+01,1.212557306791997996e-01
1.033203125000000000e+01,1.191336369630053987e-01
1.051171875000000000e+01,1.185561174011911106e-01
1.069140625000000000e+01,1.165034021224262556e-01
1.087109375000000000e+01,1.138048925752355445e-01
1.105078125000000000e+01,1.116314074679326529e-01
1.123046875000000000e+01,1.084483588850976565e-01
1.141015625000000000e+01,1.066941506777397408e-01
