# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,4.384972627943840573e-01,1.778641112022651821e-02
6.899999999999999467e-01,4.339664317255435000e-01,1.460858139801941326e-02
1.034999999999999920e+00,4.363841353411835877e-01,1.329187477306060898e-02
1.379999999999999893e+00,4.351903008944746909e-01,1.166859389669605389e-02
1.721999999999999975e+00,4.330690557854239287e-01,1.078785349452707557e-02
2.067000000000000171e+00,4.301385315561502276e-01,1.009494776390328780e-02
2.411999999999999922e+00,4.269234815505804637e-01,9.575383496280752416e-03
2.757000000000000117e+00,4.265900290028790121e-01,8.997777114113864397e-03
3.101999999999999869e+00,4.273125314817053932e-01,8.550021943410911554e-03
3.447000000000000064e+00,4.286257861795583213e-01,8.292488301252265090e-03
3.791999999999999815e+00,4.280082090997495148e-01,8.008607106310471763e-03
4.136999999999999567e+00,4.281693220574239178e-01,7.795212185834020195e-03
4.482000000000000206e+00,4.292566901721469041e-01,7.504780598784767387e-03
4.826999999999999957e+00,4.284015342976356666e-01,7.242148813867248236e-03
5.168999999999999595e+00,4.280570551303444216e-01,7.010950277648511988e-03
5.514000000000000234e+00,4.272829275480595212e-01,6.814260739210761982e-03
5.858999999999999986e+00,4.272176769313236200e-01,6.668046460146130790e-03
6.203999999999999737e+00,4.267994593331922992e-01,6.444641337590433991e-03
6.549000000000000377e+00,4.267495137318197407e-01,6.289304861420857290e-03
6.894000000000000128e+00,4.267431758197798297e-01,6.219441822059797002e-03
7.238999999999999879e+00,4.267797376029579537e-01,6.164949038527283223e-03
7.583999999999999631e+00,4.259617079078900082e-01,6.018788127322980894e-03
7.929000000000000270e+00,4.261370096619213621e-01,5.962286300193422872e-03
8.273999999999999133e+00,4.260822576274323481e-01,5.981792891824605149e-03
8.615999999999999659e+00,4.260691882516901563e-01,5.979308141997772066e-03
8.961000000000000298e+00,4.253961789063371857e-01,5.884040491615780306e-03
9.305999999999999162e+00,4.243019794437057346e-01,5.783386452794437096e-03
9.650999999999999801e+00,4.236871422002901344e-01,5.683265836573898541e-03
9.996000000000000441e+00,4.239454454633415637e-01,5.626061989024822886e-03
