# time,std_x,std_y,std_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,8.937639676528554011e-02,9.457394896394447081e-02,1.007227655007373324e-01
6.899999999999999467e-01,1.412248937143731065e-01,1.370182715743163415e-01,1.385999002893472110e-01
1.034999999999999920e+00,1.752678285899753607e-01,1.800800392008184425e-01,1.593725384213563190e-01
1.379999999999999893e+00,1.975579806823630769e-01,2.136220137494453664e-01,1.750889465550844459e-01
1.725000000000000089e+00,2.378972525112793834e-01,2.550926312030139531e-01,1.982365875230636398e-01
2.069999999999999840e+00,2.808956540406307711e-01,2.926097747219403855e-01,2.186328943022009530e-01
2.415000000000000036e+00,3.242940129909115954e-01,3.321761364889052048e-01,2.436159438632488905e-01
2.757000000000000117e+00,3.585623189732424776e-01,3.562567528511331183e-01,2.604974213267587935e-01
3.101999999999999869e+00,3.790474065584665264e-01,3.726733349548172480e-01,2.734496593587975588e-01
3.447000000000000064e+00,4.011391979550911202e-01,3.900103445387665957e-01,2.908545765776860970e-01
3.791999999999999815e+00,4.260120575420791589e-01,4.057352471202811950e-01,3.062626036534628060e-01
4.136999999999999567e+00,4.428621706542578140e-01,4.233905378222216909e-01,3.329767638119201512e-01
4.482000000000000206e+00,4.615030876049506237e-01,4.460032163373219838e-01,3.463848436124450370e-01
4.826999999999999957e+00,4.827154688120424697e-01,4.589118483915423097e-01,3.550884042288695586e-01
5.171999999999999709e+00,4.982386338282043248e-01,4.824137286756708942e-01,3.693852566956672967e-01
5.517000000000000348e+00,5.150501190182009692e-01,5.165889160640867450e-01,3.875701888874351075e-01
5.862000000000000099e+00,5.317677384365474547e-01,5.373930275578291393e-01,3.972525754010797772e-01
6.206999999999999851e+00,5.419386171782394346e-01,5.526588070562319377e-01,4.072345590462079223e-01
6.551999999999999602e+00,5.569688871008322550e-01,5.753430479189943769e-01,4.096513280087451525e-01
6.897000000000000242e+00,5.745761798956879884e-01,5.901311319280305723e-01,4.224148429147442374e-01
7.241999999999999993e+00,5.916421245085107250e-01,5.987990580338348190e-01,4.309848742495511198e-01
7.583999999999999631e+00,6.150523746867594399e-01,6.067801817140392462e-01,4.357332275402305832e-01
7.929000000000000270e+00,6.493404616372571159e-01,6.124444211275500427e-01,4.438338072648540522e-01
8.273999999999999133e+00,6.784301327785351443e-01,6.230613147010961583e-01,4.517533381580667862e-01
8.618999999999999773e+00,7.036984357964550796e-01,6.382014248444699556e-01,4.631396671838932111e-01
8.964000000000000412e+00,7.223238614032069238e-01,6.453572656433556043e-01,4.745820840712401401e-01
9.308999999999999275e+00,7.348425216687587413e-01,6.541400238890200391e-01,4.899083275972126450e-01
9.653999999999999915e+00,7.471998916769856391e-01,6.576495537837746541e-01,5.013973236149228407e-01
9.999000000000000554e+00,7.761005655838681960e-01,6.610557040716379396e-01,5.146247087120769947e-01
