# value,p_w_0,p_w_1,p_w_2
-1.132031250000000000e+01,1.340270621771379178e-02,1.296590735510085024e-02,1.287319052798886754e-02
-1.096093750000000000e+01,1.467756225230002626e-02,1.424464109583318920e-02,1.407619884328089113e-02
-1.060156250000000000e+01,1.608143701206973461e-02,1.586854454123911087e-02,1.549421743385284711e-02
-1.024218750000000000e+01,1.779096729694884527e-02,1.704328906057625201e-02,1.702543716668251592e-02
-9.882812500000000000e+00,1.941814551260204538e-02,1.832048806608921679e-02,1.880483473385209311e-02
-9.523437500000000000e+00,2.071568724684937773e-02,2.028316638263102933e-02,2.028317701540062468e-02
-9.164062500000000000e+00,2.261187696969122612e-02,2.182076832214550205e-02,2.213033378538256657e-02
-8.804687500000000000e+00,2.444078517253737287e-02,2.367111187655384155e-02,2.396104255503478733e-02
-8.445312500000000000e+00,2.659279996623730574e-02,2.574471978468740457e-02,2.598332058270750103e-02
-8.085937500000000000e+00,2.844957624613498465e-02,2.732580933699099365e-02,2.785622376498451611e-02
-7.726562500000000000e+00,3.105651304784734848e-02,2.943942821700481008e-02,3.038989702509452273e-02
-7.367187500000000000e+00,3.273450266819698945e-02,3.172407507455049513e-02,3.250673912216558298e-02
-7.007812500000000000e+00,3.506662428175246621e-02,3.373423607358553428e-02,3.511075012860171568e-02
-6.648437500000000000e+00,3.730037532679346401e-02,3.635221442917253160e-02,3.766867041841827357e-02
-6.289062500000000000e+00,3.957435322193845334e-02,3.872515212620677300e-02,4.018246209965087995e-02
-5.929687500000000000e+00,4.224930753664915550e-02,4.186488450387559207e-02,4.228756824275265586e-02
-5.570312500000000000e+00,4.462125191755387382e-02,4.441630489615940730e-02,4.535047222593114463e-02
-5.210937500000000000e+00,4.725853199974819341e-02,4.753534174383559907e-02,4.804449836714097533e-02
-4.851562500000000000e+00,4.902314755147779701e-02,4.978699780057117136e-02,5.112106031708859438e-02
-4.492187500000000000e+00,5.142396656364896929e-02,5.246294018747561100e-02,5.354240180095973939e-02
-4.132812500000000000e+00,5.355883953682435972e-02,5.467730033840152021e-02,5.635277410311182594e-02
-3.773437500000000000e+00,5.643944326985527588e-02,5.691647185901695799e-02,5.860345388670121225e-02
-3.414062500000000000e+00,5.847111710286507363e-02,5.902434574486271207e-02,6.090860104573633804e-02
-3.054687500000000000e+00,6.077902788526065581e-02,6.103165254724390171e-02,6.350032550093237527e-02
-2.695312500000000000e+00,6.248236379299033916e-02,6.272221266424600483e-02,6.522610039987318531e-02
-2.335937500000000000e+00,6.429245116669936311e-02,6.462157818680919208e-02,6.693136096846719063e-02
-1.976562500000000000e+00,6.569916460178194806e-02,6.661040594576317364e-02,6.873437041346973364e-02
-1.617187500000000000e+00,6.701081165859035238e-02,6.810619927741640156e-02,6.949206782941415306e-02
-1.257812500000000000e+00,6.806119520444552096e-02,6.957412067833433633e-02,7.067555526946206479e-02
-8.984375000000000000e-01,6.906983216977322093e-02,7.007175207389046423e-02,7.123823485301029879e-02
-5.390625000000000000e-01,6.978050825775489185e-02,7.125958252138010762e-02,7.182919991831958340e-02
-1.796875000000000000e-01,7.003893763374101356e-02,7.131918115872004638e-02,7.206354998476584284e-02
1.796875000000000000e-01,6.993021608763380637e-02,7.220411045408967055e-02,7.164336127767478857e-02
5.390625000000000000e-01,6.984400627963853470e-02,7.144593571428763112e-02,7.187495578120892126e-02
8.984375000000000000e-01,6.943999840137668467e-02,7.099871479016593712e-02,7.061408569395921653e-02
1.257812500000000000e+00,6.863887639039512045e-02,7.030566512369683385e-02,6.931658409445345947e-02
1.617187500000000000e+00,6.712880082078762078e-02,6.911913455024625008e-02,6.820927666351199459e-02
1.976562500000000000e+00,6.641825865859228573e-02,6.791912680162930094e-02,6.702227599374074862e-02
2.335937500000000000e+00,6.462135076409940282e-02,6.642848636535841900e-02,6.501035389552779764e-02
2.695312500000000000e+00,6.323833179976265373e-02,6.408380831318268023e-02,6.321976449574191748e-02
3.054687500000000000e+00,6.208707266599119978e-02,6.247329587936544665e-02,6.153905964108026538e-02
3.414062500000000000e+00,5.973268272495567410e-02,5.999614787134169291e-02,5.899003719688751535e-02
3.773437500000000000e+00,5.726892058275604575e-02,5.768236595559405461e-02,5.620687330109715163e-02
4.132812500000000000e+00,5.493659566151506968e-02,5.516675083316364969e-02,5.398594224649399392e-02
4.492187500000000000e+00,5.227193329460040616e-02,5.239696517697865763e-02,5.184623776721075661e-02
4.851562500000000000e+00,5.030198317537817876e-02,5.054925590892168225e-02,4.908088956140520265e-02
5.210937500000000000e+00,4.734678775592802979e-02,4.810075855450963306e-02,4.647266063079198706e-02
5.570312500000000000e+00,4.536393798001976674e-02,4.595033874680709562e-02,4.382789537143230718e-02
5.929687500000000000e+00,4.288532292457209599e-02,4.292984637909028067e-02,4.096591226425320281e-02
6.289062500000000000e+00,4.030355627356322495e-02,4.044323560397859729e-02,3.863940315175778267e-02
6.648437500000000000e+00,3.832975806075181874e-02,3.778908561456639087e-02,3.621860100973264829e-02
7.007812500000000000e+00,3.598568373506123158e-02,3.545377560960685098e-02,3.369165772380881829e-02
7.367187500000000000e+00,3.379306266509327084e-02,3.305491860701734175e-02,3.120184883683925492e-02
7.726562500000000000e+00,3.156311732965803168e-02,3.040559954244348786e-02,2.917387168550230128e-02
8.085937500000000000e+00,2.945609750627570245e-02,2.805180553711453598e-02,2.683223505125689745e-02
8.445312500000000000e+00,2.744942302563252792e-02,2.620659574290040705e-02,2.524014973343508689e-02
