# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
# reorientationtime = 0
6.573324885253906125e-02,4.787386374924052120e-03,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00
1.311622223388672070e-01,9.477722955598795462e-03,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
1.771442071428571685e-01,1.483144209044954913e-02,1.500000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.357901749023437743e-01,1.868759020102782678e-02,2.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.883700076335878326e-01,2.467885518852781096e-02,2.500000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
3.231475090109889869e-01,2.864193941708884431e-02,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
3.827869386813186892e-01,3.015517250081880402e-02,3.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.477567235164834902e-01,3.068441982278912600e-02,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.558088692307692424e-01,2.929044689135927235e-02,4.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.610486470329671072e-01,3.064616076320920285e-02,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.919646513274335886e-01,6.005673831134195756e-02,6.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
6.293887674698793733e-01,8.014079927994473274e-02,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.125961531250000203e-01,7.984749923768864888e-02,8.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.396003380000000016e-01,8.884423218063457195e-02,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
8.685771499999999090e-01,9.291043995233003172e-02,1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
1.148022972222222382e+00,1.208124902035661863e-01,1.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
1.446822170000000130e+00,2.107502955527660038e-01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
# us 1
1.209915418701171808e-01,9.537072913247297834e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000056e-01
1.090298379394531308e-01,9.528296593507906351e-03,1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01
9.080506674804686429e-02,9.321216077602396954e-03,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
7.937480515136718928e-02,9.504765338179115008e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00
6.990139074707031608e-02,9.666777877578747180e-03,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.934358139648437253e-02,9.495675769643824662e-03,1.000000000000000000e+00,8.000000000000000000e+00,2.500000000000000000e+00
5.588762604980468396e-02,9.626846286772032871e-03,1.000000000000000000e+00,9.000000000000000000e+00,3.000000000000000000e+00
5.219503725585937504e-02,9.538199663074373863e-03,1.000000000000000000e+00,7.000000000000000000e+00,3.500000000000000000e+00
5.164910939941406293e-02,9.405203253358042012e-03,1.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.018948295421169936e-02,1.606895844216283883e-02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
3.553811588143944433e-02,1.597464839615560239e-02,1.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00
2.415834389593367673e-02,1.619144486836668687e-02,1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00
1.646397044246358105e-02,1.612184425147409478e-02,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01
1.663382482318626066e-02,1.757399048001009878e-02,1.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+01
2.106254517139317592e-02,1.789649713166642855e-02,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01
# us 4
3.621604343750000066e-01,4.107716390967621617e-02,4.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01
3.184154203125000304e-01,4.046046102862306537e-02,4.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
2.496087042968750114e-01,3.851259365711372923e-02,4.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
2.043887570312500068e-01,3.499389952944436527e-02,4.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
1.581924937499999961e-01,3.750115514667107935e-02,4.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
1.330689753906250106e-01,3.749753758562653083e-02,4.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
1.056406203125000165e-01,3.770527013110747117e-02,4.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+00
9.701865976562501492e-02,3.733893712626262795e-02,4.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00
1.063089812500000036e-01,3.992194727909588459e-02,4.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+01
5.272636953124999748e-02,3.802919176585322497e-02,4.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+01
4.502576171875000144e-02,3.520096942647269606e-02,4.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+01
# us 6
5.056840017699114620e-01,6.279286736680626813e-02,6.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01
5.058303336283185292e-01,5.779441802378135207e-02,6.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
3.505915654867257092e-01,5.118544693403154905e-02,6.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.998890327433628156e-01,6.052159768290550634e-02,6.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
2.239034743362831870e-01,5.783478933096761199e-02,6.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
2.015981150442477943e-01,5.967831204882707852e-02,6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
1.840408920353982514e-01,5.853845346551075218e-02,6.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00
1.591014203539823091e-01,5.427476146503869281e-02,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00
1.272746548672566425e-01,6.191515834308700811e-02,6.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01
7.766122654867257946e-02,5.275971281768152693e-02,6.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+01
2.947718053097345484e-02,5.321390938691254041e-02,6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01
# us 10
7.890870150000000027e-01,1.273171880140929746e-01,1.000000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e-01
7.591435775000000552e-01,1.088398690213969733e-01,1.000000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00
5.797817124999999905e-01,8.440883310253601002e-02,1.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00
5.659793174999999676e-01,1.178923108007895182e-01,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00
3.816596599999999562e-01,9.788330290144961476e-02,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00
3.815006850000000060e-01,1.175075031278946386e-01,1.000000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00
3.648486650000000164e-01,9.402594033456500300e-02,1.000000000000000000e+01,2.000000000000000000e+00,6.000000000000000000e+00
2.858450949999999935e-01,1.087601520416825174e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00
1.955850600000000050e-01,1.092085027780531903e-01,1.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+01
1.768511850000000218e-01,7.528768175528148532e-02,1.000000000000000000e+01,4.000000000000000000e+00,2.000000000000000000e+01
1.046799350000000156e-01,9.503646263286168183e-02,1.000000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+01
# us 20
1.454574340000000188e+00,1.733945923980892423e-01,2.000000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e-01
1.397526709999999950e+00,1.598238891498811043e-01,2.000000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00
1.258161810000000047e+00,2.291985420177559407e-01,2.000000000000000000e+01,4.000000000000000000e+00,2.000000000000000000e+00
9.997384799999998739e-01,1.979900608900170000e-01,2.000000000000000000e+01,7.000000000000000000e+00,3.000000000000000000e+00
1.039524640000000222e+00,1.280032947350916439e-01,2.000000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00
9.391227100000000272e-01,1.615392371393009063e-01,2.000000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00
8.342962400000001333e-01,2.180150261540584888e-01,2.000000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00
7.202139100000000127e-01,1.645870905625271552e-01,2.000000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
7.484642200000000134e-01,1.937851108892977292e-01,2.000000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+01
4.376750400000000707e-01,1.470226987441771438e-01,2.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+01
2.393865399999999810e-01,2.033546650600613348e-01,2.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01
