# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
# reorientationtime = 0
3.234216468505859282e-02,4.743346230213037716e-03,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.128368754882813407e-02,9.436394507435705292e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.203615923076922944e-02,1.384834521588322771e-02,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.399602857421874957e-01,1.880177179814602334e-02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.664531993893129669e-01,2.304435283995198702e-02,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.770796876923076968e-01,2.910866929233629080e-02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.316313852747252933e-01,2.940077854378997380e-02,3.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.604425769230769294e-01,2.874819520814353088e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.968084945054945134e-01,2.807399070523759754e-02,4.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.202382164835165246e-01,3.034796436326234192e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.996010176991150464e-01,5.095428165220970695e-02,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.312477120481927662e-01,7.124923352494066942e-02,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.540335031250000153e-01,8.389559008891595004e-02,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.162491060000000465e-01,9.279681903589584446e-02,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.115884124999999338e-01,7.781208998695487988e-02,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.330033055555555510e-01,1.421030623221817835e-01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.129530170000000222e+00,1.679739719994713387e-01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
# us 1
5.362868005371093649e-02,6.818339837805773192e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
5.608592495117187271e-02,6.823713115393130295e-03,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
3.590695122070312190e-02,6.684290500184620135e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.663462136230468694e-02,6.682817831467608924e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
1.768281125488281244e-02,6.745361733937820306e-03,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.421254606933593428e-02,6.805972945525069241e-03,1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+00
2.543183159179687736e-02,6.696889011771787678e-03,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
2.955698552246093652e-02,6.775846651118644544e-03,1.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+00
1.209711608886718595e-02,6.738013662727540543e-03,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.039881644571633901e-02,1.609511241516598662e-02,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
3.247509375550693828e-03,1.616783889058246576e-02,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
2.104820836576304019e-02,1.602306298882562319e-02,1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00
-1.641117790050075978e-02,1.598907713186072457e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01
1.745006141158443342e-03,1.757147811927351616e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01
-4.872912974084524923e-03,1.773091375639139836e-02,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01
# us 4
2.061673117187499960e-01,3.648585206052769314e-02,4.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
2.017835847656249959e-01,3.893165294365462381e-02,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.264054949218750001e-01,3.863898814958084682e-02,4.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
8.694757304687500410e-02,3.470521834740143002e-02,4.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
1.095742187499999798e-01,3.581407217266609905e-02,4.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.130175312499999973e-01,3.676075633444537277e-02,4.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
