# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_4o0,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o0,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_2o0
0.000000000000000000e+00,2.872219632339797005e-02,1.346721079917063690e-01,9.315986625061456472e-02,4.182990958173515850e-02,6.041302793933633897e-02
8.163265306122448328e-02,2.997013329259965234e-02,1.447628615164946175e-01,1.002833421755639776e-01,4.465937011274412338e-02,6.317046893624853054e-02
1.632653061224489666e-01,3.126647244191688851e-02,1.544623005596243437e-01,1.071778278408430651e-01,4.738463525551878802e-02,6.593383591914434017e-02
2.448979591836734637e-01,3.260677247656480759e-02,1.637768409903275213e-01,1.138454250268428752e-01,5.000733739755218454e-02,6.869888697419125612e-02
3.265306122448979331e-01,3.398659210175858369e-02,1.727128986778362352e-01,1.202882355139545112e-01,5.252910892633730344e-02,7.146138018755675281e-02
4.081632653061224025e-01,3.540149002271335277e-02,1.812768894913824591e-01,1.265083610825691041e-01,5.495158222936717685e-02,7.421707364540830465e-02
4.897959183673469274e-01,3.684702494464428546e-02,1.894752293001983057e-01,1.325079035130777849e-01,5.727638969413480913e-02,7.696172543391338605e-02
5.714285714285713969e-01,3.831875557276650385e-02,1.973143339735157209e-01,1.382889645858715599e-01,5.950516370813319772e-02,7.969109363923949918e-02
6.530612244897958663e-01,3.981224061229518552e-02,2.048006193805667619e-01,1.438536460813415740e-01,6.163953665885537475e-02,8.240093634755406293e-02
7.346938775510203357e-01,4.132303876844546642e-02,2.119405013905834578e-01,1.492040497798789722e-01,6.368114093379435847e-02,8.508701164502462111e-02
8.163265306122448051e-01,4.284670874643250332e-02,2.187403958727978659e-01,1.543422774618748161e-01,6.563160892044311856e-02,8.774507761781860649e-02
8.979591836734692745e-01,4.437880925147144606e-02,2.252067186964420153e-01,1.592704309077201674e-01,6.749257300629471490e-02,9.037089235210352123e-02
9.795918367346938549e-01,4.591489898877745141e-02,2.313458857307479077e-01,1.639906118978061988e-01,6.926566557884214492e-02,9.296021393404682587e-02
1.061224489795918213e+00,4.745053666356566224e-02,2.371643128449475446e-01,1.685049222125239998e-01,7.095251902557839219e-02,9.550880044981599482e-02
1.142857142857142794e+00,4.898128098105124228e-02,2.426684159082730108e-01,1.728154636322646320e-01,7.255476573399650964e-02,9.801240998557853024e-02
1.224489795918367152e+00,5.050269064644932054e-02,2.478646107899563078e-01,1.769243379374192127e-01,7.407403809158950858e-02,1.004668006275018927e-01
1.306122448979591733e+00,5.201032436497507461e-02,2.527593133592295760e-01,1.808336469083788589e-01,7.551196848585034482e-02,1.028677304617535426e-01
1.387755102040816313e+00,5.349974084184364043e-02,2.573589394853246226e-01,1.845454923255346602e-01,7.687018930427211294e-02,1.052109575745009823e-01
1.469387755102040671e+00,5.496649878227016783e-02,2.616699050374737268e-01,1.880619759692776782e-01,7.815033293434775485e-02,1.074922400519116861e-01
1.551020408163265252e+00,5.640615689146981360e-02,2.656986258849086679e-01,1.913851996199991135e-01,7.935403176357032351e-02,1.097073359801531423e-01
1.632653061224489610e+00,5.781427387465772755e-02,2.694515178968616143e-01,1.945172650580899720e-01,8.048291817943283022e-02,1.118520034453927836e-01
1.714285714285714191e+00,5.918640843704905258e-02,2.729349969425646782e-01,1.974602740639413989e-01,8.153862456942825854e-02,1.139220005337981262e-01
1.795918367346938549e+00,6.051811928385895933e-02,2.761554788912497505e-01,2.002163284179444835e-01,8.252278332104961978e-02,1.159130853315366444e-01
1.877551020408163129e+00,6.180496512030259765e-02,2.791193796121488324e-01,2.027875299004903431e-01,8.343702682178998076e-02,1.178210159247757988e-01
1.959183673469387710e+00,6.304250465159511041e-02,2.818331149744942032e-01,2.051759802919700115e-01,8.428298745914228340e-02,1.196415503996830915e-01
2.040816326530612290e+00,6.422629658295161970e-02,2.843031008475175869e-01,2.073837813727746893e-01,8.506229762059959454e-02,1.213704468424259691e-01
2.122448979591836427e+00,6.535189961958733085e-02,2.865357531004511515e-01,2.094130349232954103e-01,8.577658969365488384e-02,1.230034633391719062e-01
2.204081632653061007e+00,6.641487246671735900e-02,2.885374876025270097e-01,2.112658427239233472e-01,8.642749606580121813e-02,1.245363579760884465e-01
2.285714285714285587e+00,6.741077382955687480e-02,2.903147202229769963e-01,2.129443065550494785e-01,8.701664912453152545e-02,1.259648888393430088e-01
2.367346938775510168e+00,6.833516241332100727e-02,2.918738668310332796e-01,2.144505281970650046e-01,8.754568125733891426e-02,1.272848140151030538e-01
2.448979591836734304e+00,6.918359692322492704e-02,2.932213432959278610e-01,2.157866094303610427e-01,8.801622485171631260e-02,1.284918915895360836e-01
2.530612244897958885e+00,6.995163606448377702e-02,2.943635654868927976e-01,2.169546520353285712e-01,8.842991229515680118e-02,1.295818796488096003e-01
2.612244897959183465e+00,7.063483854231272785e-02,2.953069492731601464e-01,2.179567577923588184e-01,8.878837597515332192e-02,1.305505362790910506e-01
2.693877551020408045e+00,7.122876306192690854e-02,2.960579105239616871e-01,2.187950284818427904e-01,8.909324827919898326e-02,1.313936195665479090e-01
2.775510204081632626e+00,7.172896832854147586e-02,2.966228651085298096e-01,2.194715658841716877e-01,8.934616159478668551e-02,1.321068875973476775e-01
2.857142857142856762e+00,7.213101304737157271e-02,2.970082288960963490e-01,2.199884717797364886e-01,8.954874830940949548e-02,1.326860984576578029e-01
2.938775510204081343e+00,7.243045592363236973e-02,2.972204177558933069e-01,2.203478479489284214e-01,8.970264081056046612e-02,1.331270102336457872e-01
