# time,average_velocity_axis_0_t_inf,95CLI,vs,reorientationtime,surftimeconst
9.996000000000000441e+00,2.151460130927370651e-01,6.101271963958002087e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.352889560120923429e-01,6.078530165423335144e-03,1.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00
9.996000000000000441e+00,9.366409600949754388e-02,6.211496755671027867e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,6.038264104469912019e-02,5.911410952396711598e-03,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,4.222280152295292827e-02,5.942432657217463707e-03,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.833158917864020410e-02,5.871229557843335271e-03,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.303629191911139018e-01,5.823064417703807498e-03,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00
9.996000000000000441e+00,4.786145307732467963e-02,6.067434110489520332e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,6.812383234543817334e-02,5.885693791890458590e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.631214887322116336e-01,6.071837394816054050e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,9.372289277038940714e-02,5.752609765735898842e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.867992637484680918e-01,6.169709570604228581e-03,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00
9.996000000000000441e+00,8.703822349252200719e-02,6.331733936149878082e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.203353971471401024e-01,6.346987375451843341e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,6.129775347639055544e-02,5.971992062146253173e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.093277092086834879e-01,6.108192916131231776e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,8.821551892241272230e-02,6.079107746300815678e-03,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.184983466042667022e-01,6.013017881605311164e-03,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.948023809133027973e-01,5.606241878724009878e-03,1.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00
9.996000000000000441e+00,7.414746259832058484e-02,6.104381391795992221e-03,1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.334859311888818012e-01,5.878217268619892640e-03,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.243131891428446434e-01,6.059639022059529027e-03,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.121450730682898356e-01,6.042865710670883815e-03,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,8.840769833323955385e-02,5.877231761622826560e-03,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.877560232100652149e-01,5.420830338207765359e-03,1.000000000000000000e+00,5.000000000000000000e-01,4.000000000000000000e+00
9.996000000000000441e+00,6.457504935567975890e-02,5.877588687680040946e-03,1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
