# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,3.563291723278985690e-02,1.817696081050775708e-02
6.899999999999999467e-01,5.961410637454710171e-02,1.553299060476690148e-02
1.034999999999999920e+00,5.871691481733092022e-02,1.377496023613892021e-02
1.379999999999999893e+00,6.349160580842391766e-02,1.229814430151120533e-02
1.721999999999999975e+00,6.403328081899681279e-02,1.136008882966298497e-02
2.067000000000000171e+00,6.596992121356433370e-02,1.058656874123253995e-02
2.411999999999999922e+00,6.719364521792081657e-02,1.013154827565508273e-02
2.757000000000000117e+00,6.836433078017319087e-02,9.552879585681763736e-03
3.101999999999999869e+00,6.797336773654094610e-02,9.059703823559327185e-03
3.447000000000000064e+00,6.722833204144906816e-02,8.677228203500414808e-03
3.791999999999999815e+00,6.674633789062500711e-02,8.261395956119299555e-03
4.136999999999999567e+00,6.709834199185703285e-02,7.937002855526934311e-03
4.482000000000000206e+00,6.902642645233711405e-02,7.624988068847047065e-03
4.826999999999999957e+00,7.080468062137455776e-02,7.394777779629900516e-03
5.168999999999999595e+00,7.053628508748066572e-02,7.232574092573209809e-03
5.514000000000000234e+00,7.146917593993698525e-02,7.101145101014483783e-03
5.858999999999999986e+00,7.151419990879416544e-02,6.967540720517944285e-03
6.203999999999999737e+00,7.009698301373107343e-02,6.778518431893604951e-03
6.549000000000000377e+00,6.883600773376660764e-02,6.694978583785786939e-03
6.894000000000000128e+00,6.717275637102915198e-02,6.570703681196653559e-03
7.238999999999999879e+00,6.581912737752970699e-02,6.500293300354412218e-03
7.583999999999999631e+00,6.554565468317345711e-02,6.390008960682552579e-03
7.929000000000000270e+00,6.515781195808109660e-02,6.313495410587444817e-03
8.273999999999999133e+00,6.370425794941232678e-02,6.225583896179646796e-03
8.615999999999999659e+00,6.198828657711670520e-02,6.183820090677208392e-03
8.961000000000000298e+00,6.150649657630984091e-02,6.126417375639331593e-03
9.305999999999999162e+00,6.205483210596658694e-02,6.053399406821796842e-03
9.650999999999999801e+00,6.166559063665683071e-02,5.966575752427095460e-03
9.996000000000000441e+00,6.038264104469912019e-02,5.911410952396711598e-03
