# distance__t_0.0,pdf__t_0.0,distance__t_2.499,pdf__t_2.499,distance__t_4.998,pdf__t_4.998,distance__t_7.5,pdf__t_7.5,distance__t_9.999,pdf__t_9.999
-4.949999999999999956e-01,0.000000000000000000e+00,-2.244579999999999909e-01,0.000000000000000000e+00,4.051860000000000461e-01,0.000000000000000000e+00,2.023709999999999676e-01,0.000000000000000000e+00,6.288720050000000672e-01,1.145019525496552512e+07
-4.849999999999999867e-01,0.000000000000000000e+00,-2.144579999999999820e-01,0.000000000000000000e+00,4.151860000000000550e-01,0.000000000000000000e+00,2.123709999999999765e-01,0.000000000000000000e+00,6.288720150000000064e-01,0.000000000000000000e+00
-4.749999999999999778e-01,0.000000000000000000e+00,-2.044580000000000009e-01,0.000000000000000000e+00,4.251860000000000639e-01,0.000000000000000000e+00,2.223709999999999576e-01,0.000000000000000000e+00,6.288720249999999456e-01,0.000000000000000000e+00
-4.649999999999999689e-01,0.000000000000000000e+00,-1.944579999999999920e-01,0.000000000000000000e+00,4.351860000000000728e-01,0.000000000000000000e+00,2.323709999999999665e-01,0.000000000000000000e+00,6.288720349999999959e-01,0.000000000000000000e+00
-4.550000000000000155e-01,0.000000000000000000e+00,-1.844580000000000108e-01,0.000000000000000000e+00,4.451860000000000261e-01,0.000000000000000000e+00,2.423709999999999476e-01,0.000000000000000000e+00,6.288720450000000461e-01,0.000000000000000000e+00
-4.450000000000000067e-01,0.000000000000000000e+00,-1.744580000000000020e-01,0.000000000000000000e+00,4.551860000000000350e-01,0.000000000000000000e+00,2.523709999999999565e-01,0.000000000000000000e+00,6.288720549999999854e-01,0.000000000000000000e+00
-4.349999999999999978e-01,0.000000000000000000e+00,-1.644579999999999931e-01,0.000000000000000000e+00,4.651860000000000439e-01,0.000000000000000000e+00,2.623709999999999654e-01,0.000000000000000000e+00,6.288720649999999246e-01,0.000000000000000000e+00
-4.249999999999999889e-01,0.000000000000000000e+00,-1.544579999999999842e-01,0.000000000000000000e+00,4.751860000000000528e-01,0.000000000000000000e+00,2.723709999999999742e-01,0.000000000000000000e+00,6.288720749999999748e-01,0.000000000000000000e+00
-4.150000000000000355e-01,0.000000000000000000e+00,-1.444579999999999753e-01,0.000000000000000000e+00,4.851860000000000062e-01,0.000000000000000000e+00,2.823709999999999276e-01,0.000000000000000000e+00,6.288720850000000251e-01,0.000000000000000000e+00
-4.050000000000000266e-01,0.000000000000000000e+00,-1.344579999999999942e-01,0.000000000000000000e+00,4.951860000000000150e-01,0.000000000000000000e+00,2.923709999999999365e-01,0.000000000000000000e+00,6.288720949999999643e-01,0.000000000000000000e+00
-3.950000000000000178e-01,0.000000000000000000e+00,-1.244579999999999853e-01,0.000000000000000000e+00,5.051860000000000239e-01,0.000000000000000000e+00,3.023709999999999454e-01,0.000000000000000000e+00,6.288721049999999035e-01,0.000000000000000000e+00
