# time,average_distance,95CLI,average_effective_velocity,95CLI
0.000000000000000000e+00,1.000000000000000167e-06,4.585655359953938515e-24,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,8.463590087890625552e-04,5.805399975496928554e-07,-2.450315967504529402e-03,1.682724630578819947e-06
6.899999999999999467e-01,8.584854736328127430e-04,1.980882406746150774e-06,-1.242732570482337449e-03,2.870844067748044845e-06
1.034999999999999920e+00,1.389066870117187588e-02,1.769291526207967671e-06,-1.341996975958635596e-02,1.709460411795137956e-06
1.379999999999999893e+00,5.242999999999998530e-03,3.756568870874266431e-20,-3.798550724637680086e-03,2.722151355705990674e-20
1.725000000000000089e+00,1.003879516601562365e-03,6.228503598442179663e-07,-5.813794299139491990e-04,3.610726723734596799e-07
2.069999999999999840e+00,8.407822265625001937e-04,6.639791621208509797e-07,-4.056918968900967122e-04,3.207628802516188527e-07
2.415000000000000036e+00,5.078521850585938392e-03,7.789621542544031827e-07,-2.102493519911361776e-03,3.225516166684899151e-07
2.757000000000000117e+00,7.016207275390624366e-04,1.143866919870237341e-06,-2.541243117660726969e-04,4.148955095648303722e-07
3.101999999999999869e+00,1.345999999999999974e-03,0.000000000000000000e+00,-4.335912314635719314e-04,0.000000000000000000e+00
3.447000000000000064e+00,9.071890869140626212e-04,5.525179094968919112e-06,-2.628921052840332579e-04,1.602895008694203464e-06
3.791999999999999815e+00,9.547697753906248148e-04,1.033470897857225130e-08,-2.515215652401436917e-04,2.725397937387197051e-09
4.136999999999999567e+00,1.602356254882812414e-01,2.501016520332317826e-08,-3.873208254490723840e-02,6.045483491255301307e-09
4.482000000000000206e+00,2.200732685546875067e-01,1.943618860127424530e-08,-4.910135398364290360e-02,4.336499018579706740e-09
4.826999999999999957e+00,1.640009833984374943e-01,3.958557835185255370e-09,-3.397555073512274759e-02,8.200865620851989581e-10
5.171999999999999709e+00,1.710459805908203235e-01,3.416564202809043045e-09,-3.307134195491499146e-02,6.605885929638521545e-10
5.517000000000000348e+00,5.204299999999997817e-02,4.507882645049118995e-19,-9.433025194852270867e-03,8.170894770797749711e-20
5.862000000000000099e+00,1.440307495117187746e-03,1.428034420966510587e-08,-2.455318142472172902e-04,2.436087377970846882e-09
6.206999999999999851e+00,8.171624755859373517e-04,2.794097118467141199e-06,-1.314906517779825001e-04,4.501525887654489129e-07
6.551999999999999602e+00,1.503499438476562505e-02,1.237339402210359298e-07,-2.294565687540541139e-03,1.888491151114712227e-08
6.897000000000000242e+00,8.971347290039063255e-03,1.445586436584925912e-07,-1.300615817027557346e-03,2.095964095381942800e-08
7.241999999999999993e+00,6.461660156250000932e-04,1.005284349834402005e-06,-8.908671853424469770e-05,1.388130833795086886e-07
7.583999999999999631e+00,8.282224121093751485e-04,3.059770186009335966e-06,-1.090746851410041043e-04,4.034507101805559361e-07
7.929000000000000270e+00,7.590740966796874663e-04,2.545694715246196086e-06,-9.560778114260151119e-05,3.210612580711560102e-07
8.273999999999999133e+00,7.670000000000002120e-04,4.695711088592833039e-21,-9.257916364515352188e-05,5.675261165811981283e-22
8.618999999999999773e+00,1.308311157226562434e-03,2.167081546793129461e-08,-1.516778230916072056e-04,2.514307398530142004e-09
8.964000000000000412e+00,3.000000000000000496e-03,9.391422177185666078e-21,-3.345604640785364184e-04,1.047682081346013522e-21
9.308999999999999275e+00,3.984900000000000941e-02,1.502627548349706573e-19,-4.280588677623806126e-03,1.614166450048025306e-20
9.653999999999999915e+00,4.311399999999999261e-02,1.502627548349706573e-19,-4.465817277812304809e-03,1.556481819297396542e-20
9.999000000000000554e+00,9.939180908203123100e-04,1.395051925536180944e-06,-9.930173925595682765e-05,1.395191444680648874e-07
