# distance__t_0.0,pdf__t_0.0,distance__t_2.499,pdf__t_2.499,distance__t_4.998,pdf__t_4.998,distance__t_7.5,pdf__t_7.5,distance__t_9.999,pdf__t_9.999
-4.949990000000000223e-01,0.000000000000000000e+00,1.544020000000000115e-03,1.613398145261852005e+04,1.528144999999999851e-03,8.844946480032955378e+02,2.677515000000000103e-03,4.054042958486562839e+03,1.624855000000000136e-03,4.273796498905941235e+02
-4.849990000000000134e-01,0.000000000000000000e+00,1.560060000000000049e-03,0.000000000000000000e+00,1.552435000000000013e-03,0.000000000000000000e+00,2.696544999999999845e-03,0.000000000000000000e+00,1.638565000000000030e-03,0.000000000000000000e+00
-4.749990000000000601e-01,0.000000000000000000e+00,1.576099999999999984e-03,3.652976932668344148e+02,1.576724999999999958e-03,0.000000000000000000e+00,2.715574999999999586e-03,0.000000000000000000e+00,1.652274999999999924e-03,0.000000000000000000e+00
-4.649990000000000512e-01,0.000000000000000000e+00,1.592140000000000135e-03,0.000000000000000000e+00,1.601014999999999903e-03,0.000000000000000000e+00,2.734604999999999762e-03,0.000000000000000000e+00,1.665985000000000035e-03,0.000000000000000000e+00
-4.549990000000000423e-01,0.000000000000000000e+00,1.608179999999999853e-03,0.000000000000000000e+00,1.625305000000000066e-03,0.000000000000000000e+00,2.753634999999999937e-03,0.000000000000000000e+00,1.679695000000000146e-03,0.000000000000000000e+00
-4.449990000000000334e-01,0.000000000000000000e+00,1.624220000000000004e-03,0.000000000000000000e+00,1.649594999999999794e-03,0.000000000000000000e+00,2.772664999999999678e-03,0.000000000000000000e+00,1.693405000000000040e-03,0.000000000000000000e+00
-4.349990000000000245e-01,0.000000000000000000e+00,1.640260000000000155e-03,0.000000000000000000e+00,1.673884999999999956e-03,2.621320502264288734e+04,2.791694999999999854e-03,0.000000000000000000e+00,1.707114999999999935e-03,0.000000000000000000e+00
-4.249990000000000157e-01,0.000000000000000000e+00,1.656299999999999873e-03,0.000000000000000000e+00,1.698175000000000118e-03,0.000000000000000000e+00,2.810725000000000029e-03,3.345868365738276771e+04,1.720825000000000046e-03,0.000000000000000000e+00
-4.149990000000000068e-01,0.000000000000000000e+00,1.672340000000000024e-03,0.000000000000000000e+00,1.722464999999999847e-03,0.000000000000000000e+00,2.829754999999999771e-03,0.000000000000000000e+00,1.734535000000000157e-03,0.000000000000000000e+00
-4.049989999999999979e-01,0.000000000000000000e+00,1.688380000000000176e-03,0.000000000000000000e+00,1.746755000000000009e-03,0.000000000000000000e+00,2.848784999999999512e-03,0.000000000000000000e+00,1.748245000000000051e-03,0.000000000000000000e+00
-3.949989999999999890e-01,0.000000000000000000e+00,1.704419999999999893e-03,0.000000000000000000e+00,1.771044999999999954e-03,0.000000000000000000e+00,2.867815000000000121e-03,0.000000000000000000e+00,1.761954999999999945e-03,0.000000000000000000e+00
-3.849990000000000356e-01,0.000000000000000000e+00,1.720460000000000045e-03,0.000000000000000000e+00,1.795334999999999900e-03,0.000000000000000000e+00,2.886844999999999863e-03,0.000000000000000000e+00,1.775665000000000056e-03,1.887593453683427288e+04
-3.749990000000000268e-01,0.000000000000000000e+00,1.736500000000000196e-03,0.000000000000000000e+00,1.819625000000000062e-03,0.000000000000000000e+00,2.905874999999999604e-03,0.000000000000000000e+00,1.789375000000000167e-03,0.000000000000000000e+00
-3.649990000000000179e-01,0.000000000000000000e+00,1.752539999999999914e-03,0.000000000000000000e+00,1.843914999999999790e-03,0.000000000000000000e+00,2.924905000000000213e-03,0.000000000000000000e+00,1.803085000000000061e-03,0.000000000000000000e+00
-3.549990000000000645e-01,0.000000000000000000e+00,1.768580000000000065e-03,0.000000000000000000e+00,1.868204999999999952e-03,2.412258130918078791e+02,2.943934999999999955e-03,0.000000000000000000e+00,1.816794999999999955e-03,0.000000000000000000e+00
-3.449990000000000556e-01,0.000000000000000000e+00,1.784620000000000217e-03,0.000000000000000000e+00,1.892494999999999898e-03,0.000000000000000000e+00,2.962964999999999696e-03,0.000000000000000000e+00,1.830505000000000066e-03,0.000000000000000000e+00
-3.349990000000000467e-01,0.000000000000000000e+00,1.800659999999999934e-03,0.000000000000000000e+00,1.916784999999999843e-03,0.000000000000000000e+00,2.981994999999999871e-03,0.000000000000000000e+00,1.844215000000000177e-03,0.000000000000000000e+00
-3.249990000000000379e-01,0.000000000000000000e+00,1.816700000000000086e-03,0.000000000000000000e+00,1.941075000000000005e-03,0.000000000000000000e+00,3.001025000000000047e-03,0.000000000000000000e+00,1.857924999999999854e-03,0.000000000000000000e+00
-3.149990000000000290e-01,0.000000000000000000e+00,1.832740000000000020e-03,0.000000000000000000e+00,1.965365000000000167e-03,0.000000000000000000e+00,3.020054999999999788e-03,0.000000000000000000e+00,1.871634999999999965e-03,0.000000000000000000e+00
-3.049990000000000201e-01,0.000000000000000000e+00,1.848779999999999955e-03,0.000000000000000000e+00,1.989654999999999896e-03,0.000000000000000000e+00,3.039084999999999964e-03,1.128973988439321602e+03,1.885345000000000076e-03,0.000000000000000000e+00
-2.949990000000000112e-01,0.000000000000000000e+00,1.864820000000000106e-03,0.000000000000000000e+00,2.013944999999999624e-03,0.000000000000000000e+00,3.058115000000000139e-03,0.000000000000000000e+00,1.899055000000000187e-03,0.000000000000000000e+00
-2.849990000000000023e-01,0.000000000000000000e+00,1.880859999999999824e-03,0.000000000000000000e+00,2.038235000000000220e-03,0.000000000000000000e+00,3.077144999999999880e-03,0.000000000000000000e+00,1.912764999999999865e-03,0.000000000000000000e+00
