# time,average_distance,95CLI,average_effective_velocity,95CLI
0.000000000000000000e+00,1.880915063476562565e-02,1.088062013431535242e-08,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000044e-01,6.615194458007811473e-02,6.161791386720279727e-04,-1.856580154718136810e-01,2.416388779105992177e-03
5.100000000000000089e-01,1.491717299804687369e-01,1.740135753263266725e-03,-2.556129006778492530e-01,3.412030888751503305e-03
7.620000000000000107e-01,2.526159077148437682e-01,3.179642758644903294e-03,-3.068330145407849874e-01,4.172759525780713082e-03
1.016999999999999904e+00,3.652518498535156088e-01,4.374296570396001872e-03,-3.406516216506882966e-01,4.301176568727632134e-03
1.272000000000000020e+00,4.746719708251952996e-01,5.498731049418991226e-03,-3.583827202754950036e-01,4.322901768411156406e-03
1.526999999999999913e+00,5.774376727294920908e-01,6.410649904858072186e-03,-3.658340026815497525e-01,4.198199020863178053e-03
1.778999999999999915e+00,6.761336070556640543e-01,7.280376649282188639e-03,-3.694909816868456875e-01,4.092398341361545497e-03
2.033999999999999808e+00,7.696850877685547099e-01,7.997171075357007927e-03,-3.691622109802306650e-01,3.931745858090958043e-03
2.289000000000000146e+00,8.609003138427734347e-01,8.595859492833394719e-03,-3.678860477099203941e-01,3.755290298310788068e-03
2.544000000000000039e+00,9.372740079345702746e-01,9.101868334602134999e-03,-3.610317835297974232e-01,3.577778433412788939e-03
2.795999999999999819e+00,1.002090624023437515e+00,9.596176727016776306e-03,-3.516743467055336025e-01,3.432108986772809851e-03
3.051000000000000156e+00,1.062938537231445491e+00,1.003566848340149871e-02,-3.422252987861946205e-01,3.289304648771385845e-03
3.306000000000000050e+00,1.122392874511718874e+00,1.040946140140476886e-02,-3.338123786681649330e-01,3.148657411193214913e-03
3.560999999999999943e+00,1.168942063476562376e+00,1.071504340326025206e-02,-3.229803181246270194e-01,3.008998428323575534e-03
3.813000000000000167e+00,1.211568328247070392e+00,1.107955618703933970e-02,-3.128138414928677280e-01,2.905732018630825895e-03
4.067999999999999616e+00,1.259893168701171851e+00,1.145719915040361789e-02,-3.050845668796475785e-01,2.816420636775717693e-03
4.323000000000000398e+00,1.303392700805664051e+00,1.177592665298958508e-02,-2.971509484549845759e-01,2.724017268792408922e-03
4.578000000000000291e+00,1.352974822998046944e+00,1.215384192085370262e-02,-2.914298104769071918e-01,2.654836592584906320e-03
4.830000000000000071e+00,1.401153459106445398e+00,1.256653770224984076e-02,-2.861996497870972767e-01,2.601767640217358350e-03
5.084999999999999964e+00,1.441777573608398422e+00,1.291648184457265015e-02,-2.798364646949130230e-01,2.540114423711435730e-03
5.339999999999999858e+00,1.486695938720703047e+00,1.324993436080336949e-02,-2.748851663082280128e-01,2.481261116255312899e-03
5.594999999999999751e+00,1.527598729248046849e+00,1.350017894838938769e-02,-2.696674850068420670e-01,2.412900616334117797e-03
5.847000000000000419e+00,1.562002396972656193e+00,1.377289507440520797e-02,-2.639290655614657810e-01,2.355549012212280850e-03
6.102000000000000313e+00,1.590127180053710898e+00,1.409530668526819477e-02,-2.575086904980244396e-01,2.309948653764043805e-03
6.357000000000000206e+00,1.617842056396484374e+00,1.439943620769011667e-02,-2.515389186348463979e-01,2.265130754709787034e-03
6.612000000000000099e+00,1.645324692504882780e+00,1.467748043268611580e-02,-2.459944860662608979e-01,2.219824626843030189e-03
6.863999999999999879e+00,1.677622710449218957e+00,1.496624054194804418e-02,-2.416686421641103255e-01,2.180396349351405253e-03
7.118999999999999773e+00,1.714295873657226466e+00,1.523998193383613135e-02,-2.381636076727715878e-01,2.140747567612885649e-03
7.373999999999999666e+00,1.744888326171874837e+00,1.547492878481316475e-02,-2.340763731403728287e-01,2.098579981667095858e-03
